eid,eff_doi,title,source,doctype,mechanism_family,study_type,performance_reported,decision,pass2_note
2-s2.0-85207023604,10.1016/j.enbuild.2024.114927,Evaluation of a Kirigami-inspired double-skin adaptive façade for natural ventilation and solar harvesting to enhance indoor environment and energy performance,Energy and Buildings,Article,origami-deployable,simulation,energy,include,
2-s2.0-85217873829,10.15627/jd.2024.26,Design Alternatives of Light Shelves using Altmann Linkage,Journal of Daylighting,Article,mechanical,unclear,daylight,include,
2-s2.0-85211821540,10.3390/en17236095,Developing an Optimized Energy-Efficient Sustainable Building Design Model in an Arid and Semi-Arid Region: A Genetic Algorithm Approach,Energies,Article,unclear,simulation,energy,include,
2-s2.0-85205365049,10.1016/j.solener.2024.112971,Research on the solar performance of folded dynamic BIPV shading,Solar Energy,Article,origami-deployable,experiment,daylight,include,
2-s2.0-85210252385,10.3390/su16229739,Energy and Daylighting Performance of Kinetic Building-Integrated Photovoltaics (BIPV) Façade,Sustainability Switzerland,Article,origami-deployable,unclear,multiple,include,
2-s2.0-85202354380,10.1016/j.jobe.2024.110462,Investigating perforated egg crates as dynamic shading systems for open-plan offices in tropical climates,Journal of Building Engineering,Article,mechanical,experiment,daylight,include,
2-s2.0-85209745683,10.1103/physrevfluids.9.114604,Large-scale turbulent pressure fluctuations revealed by Ned Kahn's artwork,Physical Review Fluids,Article,unclear,experiment,none,include,
2-s2.0-85193295346,10.1002/adfm.202404721,Hierarchically Programmed Meta-Louver Fabric for Adaptive Personal Thermal Management,Advanced Functional Materials,Article,mechanical,experiment,multiple,include,
2-s2.0-85193550560,10.1002/tal.2133,Dynamical performances of a wind-excited high-rise structure equipped with a multiblock movable faca̧de,Structural Design of Tall and Special Buildings,Article,mechanical,simulation,none,include,
2-s2.0-85175971133,10.1177/14780771231209457,Morphological composition assessment of kinetic façade designs via AHP and TOPSIS methods based on façade components and design inputs,International Journal of Architectural Computing,Article,unclear,simulation,none,include,
2-s2.0-85205268572,10.3390/su16188156,Enhancing Daylight Comfort with Climate-Responsive Kinetic Shading: A Simulation and Experimental Study of a Horizontal Fin System,Sustainability Switzerland,Article,mechanical,experiment,multiple,include,
2-s2.0-85205371333,10.3390/app14188448,Experimental Infrastructure Design for Energy-Independent Car Park Building Based on Parametric Photovoltaic Facade System,Applied Sciences Switzerland,Article,mechanical,experiment,energy,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85195308006,10.1016/j.engstruct.2024.118367,Design and multiphysical modeling of SMA-driven bi-stable structures with efficient energy consumption,Engineering Structures,Article,material-driven,prototype,energy,include,
2-s2.0-85197068505,10.1016/j.solener.2024.112736,Evaluation of static and dynamic PV-Integrated shading systems for office spaces in Australia,Solar Energy,Article,mechanical,simulation,energy,include,
2-s2.0-85193327869,10.1007/s41062-024-01480-y,Solar radiation analysis: computational performance analysis for the foldable axis of a responsive external skin on the south façade,Innovative Infrastructure Solutions,Article,origami-deployable,experiment,multiple,include,
2-s2.0-85194831374,10.15627/jd.2024.5,Enhancing Visual Comfort and Energy Efficiency in Office Lighting Using Parametric-Generative Design Approach for Interactive Kinetic Louvers,Journal of Daylighting,Article,mechanical,simulation,multiple,include,
2-s2.0-85189941591,10.1016/j.enbuild.2024.114150,Concept analysis of an adaptive building envelope with thin-film photovoltaic modules,Energy and Buildings,Article,mechanical,unclear,energy,include,
2-s2.0-85191388995,10.3390/buildings14041038,Optimizing the Shading Device Configuration of Kinetic Façades through Daylighting Performance Assessment,Buildings,Article,unclear,simulation,multiple,include,
2-s2.0-85189749021,10.1016/j.dibe.2024.100372,FlectoSol – A pneumatically activable PV-functionalized façade shading module with bending motion in two directions for solar tracking,Developments in the Built Environment,Article,pneumatic-soft,simulation,energy,include,
2-s2.0-85149849761,10.1016/j.enbenv.2022.09.004,"Dynamic Shading and Glazing Technologies: Improve Energy, Visual, and Thermal Performance",Energy and Built Environment,Article,unclear,simulation,multiple,include,
2-s2.0-85187205056,10.1016/j.matdes.2024.112807,Kinetic module in bimetal: A biomimetic approach adapting the kinetic behavior of bimetal for adaptive Façades,Materials and Design,Article,material-driven,prototype,none,include,
2-s2.0-85184843752,10.1016/j.jweia.2024.105667,Kirigami-inspired wind steering for natural ventilation,Journal of Wind Engineering and Industrial Aerodynamics,Article,origami-deployable,experiment,comfort,include,
2-s2.0-85192736363,10.3390/buildings14030596,A Study on the Effect of Dynamic Photovoltaic Shading Devices on Energy Consumption and Daylighting of an Office Building,Buildings,Article,mechanical,simulation,multiple,include,
2-s2.0-85188708247,10.3390/act13030085,Development of a Self-Regulating Solar Shading Actuator Based on the Thermal Shape Memory Effect,Actuators,Article,material-driven,simulation,none,include,
2-s2.0-85181014575,10.1016/j.apples.2023.100174,Mechanical response of tensegrity-origami solar modules,Applications in Engineering Science,Article,origami-deployable,experiment,energy,include,
2-s2.0-85184678882,10.3390/su16030959,Towards Refining Bio-Inspired Hydro-Actuated Building Facades by Emphasising the Importance of Hybrid Adaptability,Sustainability Switzerland,Article,material-driven,unclear,energy,include,
2-s2.0-85185729138,10.3390/buildings14020556,"Influence of Sun Shading Devices on Energy Efficiency, Thermal Comfort and Lighting Comfort in a Warm Semi-Arid Dry Mediterranean Climate",Buildings,Article,unclear,simulation,multiple,include,
2-s2.0-85196713091,,BRIDGING EXTERIOR AND INTERIOR CLIMATE: Interdisciplinary Design of a Dual-Functional Adaptive Kinetic Façade,Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia,Conference Paper,unclear,unclear,unclear,include,
2-s2.0-105023673830,,Daylighting and Energy Optimisation in Tropical Offices: Performance of Climate Adaptive Kinetic Façades over Static Designs,PLEA 2024 Re Thinking Resilience Proceedings of 37th PLEA Conference Sustainable Architecture and Urban Design the Book of Proceedings,Conference Paper,unclear,simulation,multiple,include,
2-s2.0-85208587483,10.1088/1755-1315/1404/1/012015,Comparing the Effectiveness of Dynamic Facades for Natural Daylight and Energy Usage in Buildings,Iop Conference Series Earth and Environmental Science,Conference Paper,origami-deployable,unclear,multiple,include,
2-s2.0-85185021235,10.21608/auej.2023.243338.1449,ENHANCING ENERGY CONSUMPTION IN EGYPT WITHIN ADAPTIVE FACADE TECHNIQUES,Journal of Al Azhar University Engineering Sector,Article,mechanical,simulation,multiple,include,
2-s2.0-85207831129,10.1007/978-981-97-4988-1_70,Unexplored Scope of Adaptive Facades in Indian Corporate Offices Located in Warm and Humid Climate,Lecture Notes in Civil Engineering,Conference Paper,unclear,unclear,multiple,include,
2-s2.0-85178491291,10.13189/cea.2024.120125,An Approach to Using Shape Memory Alloys in Kinetic Facades to Improve the Thermal Performance of Office Building Spaces,Civil Engineering and Architecture,Article,material-driven,experiment,multiple,include,
2-s2.0-85181717522,10.1177/17442591231219793,Multi-objective optimization of kinetic facade aperture ratios for daylight and solar radiation control,Journal of Building Physics,Article,unclear,simulation,multiple,include,
2-s2.0-85209815164,10.52842/conf.ecaade.2024.1.431,Cast Adaptive/Kinetic Façades The application of sand casting on manufacturing the adaptive/kinetic facades,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,unclear,unclear,energy,include,
2-s2.0-85202536231,10.1007/978-3-031-65877-8_1,Adaptive Façades: A Comparative Analysis of Bimetal Solutions,Environmental Footprints and Eco Design of Products and Processes,Book Chapter,material-driven,unclear,multiple,include,
2-s2.0-85202079838,10.1108/sasbe-03-2024-0090,Biomimetic kinetic façade as a real-time daylight control: complex form versus simple form with proper kinetic behavior,Smart and Sustainable Built Environment,Article,unclear,simulation,multiple,include,
2-s2.0-85190548776,10.18848/2325-128x/cgp/v18i02/1-30,A Transdisciplinary Approach to Sustainable Architecture: Integrating Kinetic Shading Systems in Architectural Pedagogy,International Journal of Design Education,Article,unclear,prototype,energy,include,
2-s2.0-85210560256,10.23919/annsim61499.2024.10732810,Dynamic Insulated Shutter System for a Double-Layer Building Façade: a Case Study with Physical Prototype,Annsim 2024 Proceedings of the 2024 Annual Modeling and Simulation Conference,Conference Paper,unclear,experiment,multiple,include,
2-s2.0-85181880021,10.3390/su16010288,Climate-Adaptive Building Envelope Controls: Assessing the Impact on Building Performance,Sustainability Switzerland,Article,mechanical,simulation,multiple,include,
2-s2.0-85209575958,10.1080/17508975.2024.2424244,Interactive Kinetic Facade with Design for Disassembly (DfD) strategy: improving energy efficiency and circularity of building materials in tropical climate,Intelligent Buildings International,Article,unclear,simulation,energy,include,
2-s2.0-85187575812,10.1088/1755-1315/1301/1/012012,"Perception Study on Kinetic Recycled Compact Disc Facade in Tourism Hall, Jarak - Wonosalam",Iop Conference Series Earth and Environmental Science,Conference Paper,mechanical,unclear,none,include,
2-s2.0-85208600943,10.1088/1755-1315/1404/1/012009,Dynamic facade potential for indoor lighting uniformity,Iop Conference Series Earth and Environmental Science,Conference Paper,mechanical,unclear,multiple,include,
2-s2.0-105025595286,10.58491/2735-4202.3134,Multiobjective Approach for Optimizing Buildings’ Forms and Kinetic Façade Systems in Office Buildings,Mej Mansoura Engineering Journal,Article,unclear,simulation,multiple,include,
2-s2.0-85202450668,10.23919/splitech61897.2024.10612439,Traditional and Bioclimatic Design for the Energy Retrofit of Existing Buildings,2024 9th International Conference on Smart and Sustainable Technologies Splitech 2024,Conference Paper,unclear,unclear,multiple,include,
2-s2.0-85198082947,10.15627/jd.2024.9,Designerly Approach to Design Responsive Façade for Occupant Visual Comfort in Different Latitudes,Journal of Daylighting,Article,mechanical,unclear,multiple,include,
2-s2.0-85218488689,10.1007/978-3-031-74716-8_26,Interactive Architecture for Enhancing Energy Efficiency and Thermal Comfort in the Office Buildings,Lecture Notes in Networks and Systems,Conference Paper,unclear,simulation,multiple,include,
2-s2.0-85177607250,10.1080/00038628.2023.2281401,Characterization and modeling of bistable laminates for kinetic shading screens,Architectural Science Review,Article,compliant,experiment,energy,include,
2-s2.0-85177830939,10.1016/j.buildenv.2023.111052,Light-responsive kinetic façade system inspired by the Gazania flower: A biomimetic approach in parametric design for daylighting,Building and Environment,Article,mechanical,simulation,multiple,include,
2-s2.0-85200437303,10.1007/978-981-99-8811-2_38,Design and Methodology for Automated Intelli-Smart Shading Apparatus for Commercial Building Fenestrations in India,Advances in 21st Century Human Settlements,Book Chapter,unclear,experiment,multiple,include,
2-s2.0-86000026738,10.1109/icbir61386.2024.10875775,Experimental Investigation of Thermal Performance of Windows with External Shading Slats for Air-Conditioned Buildings in Thailand,Icbir 2024 2024 9th International Conference on Business and Industrial Research Proceedings,Conference Paper,mechanical,experiment,energy,uncertain_fulltext,PROMOTE: movable
2-s2.0-85192358221,10.1109/iccece61317.2024.10504239,Visual Perception-Driven Dynamic Adaptive Shading,2024 4th International Conference on Consumer Electronics and Computer Engineering Iccece 2024,Conference Paper,unclear,experiment,daylight,include,
2-s2.0-85216708241,10.31399/asm.cp.smst2024p0064,A self-regulating device passively activated by an SMA for solar responsive shading,International Conference on Shape Memory and Superelastic Technologies Smst 2024,Conference Paper,material-driven,unclear,multiple,include,
2-s2.0-85210586773,10.23919/annsim61499.2024.10732831,Designing For Daylight: An Exploration of Origami-Inspired Interior Shading Screens,Annsim 2024 Proceedings of the 2024 Annual Modeling and Simulation Conference,Conference Paper,origami-deployable,simulation,daylight,include,
2-s2.0-85209773472,10.52842/conf.ecaade.2024.1.361,Climate-responsive Hygroscopic: Wood Bilayers Programmed via Laser Modification,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,material-driven,unclear,energy,include,
2-s2.0-85217173823,10.23919/annsim61499.2024.10732831,DESIGNING FOR DAYLIGHT: AN EXPLORATION OF ORIGAMI-INSPIRED INTERIOR SHADING SCREENS,Simulation Series,Conference Paper,origami-deployable,simulation,daylight,include,
2-s2.0-85184285537,10.1007/978-981-99-8405-3_7,An Exploration on the Form Design of Movable Structures Based on Uniform Convex Polyhedral Expansion,Computational Design and Robotic Fabrication,Book Chapter,origami-deployable,unclear,none,include,
2-s2.0-85200456031,10.1007/978-981-99-8811-2_37,An Innovative Retrofittable Manually Operable Smart Shading Apparatus for House Windows (Residential Buildings) and Method of Working for Same,Advances in 21st Century Human Settlements,Book Chapter,mechanical,experiment,multiple,include,
2-s2.0-85194749202,10.1117/12.3010949,Robust Control of Friction-Driven Reconfigurable Adaptive Structures,Proceedings of SPIE the International Society for Optical Engineering,Conference Paper,mechanical,theoretical,energy,include,
2-s2.0-85207520247,10.1049/icp.2024.2682,ENERGY ANALYSIS OF BUILDINGS WITH LARGE GLAZED SURFACES,Iet Conference Proceedings,Conference Paper,unclear,case-study,multiple,include,
2-s2.0-85192763646,10.14455/isec.2024.11(1).aae-10,"KINETIC ARCHITECTURE AS A RESPONSE TO ADAPTIVE BEHAVIOR TO CLIMATE, A CASE STUDY THROUGH VIRTUAL MODELS",Proceedings of International Structural Engineering and Construction,Conference Paper,unclear,simulation,energy,include,
2-s2.0-85207224128,10.1007/978-3-031-59005-4_21,Effect of a Movable Phase Change Materials (PCMs) Layer on Lowering Energy Usage in Desert Structures,Green Energy and Technology,Book Chapter,unclear,simulation,multiple,include,
2-s2.0-85211631730,10.1109/pvsc57443.2024.10749295,Pre-Construction Modeling of Shade Loss Due to Wind Turbine Shadow Flicker on Solar PV,Conference Record of the IEEE Photovoltaic Specialists Conference,Conference Paper,mechanical,simulation,energy,include,
2-s2.0-85200388144,10.1007/978-3-031-56544-1_33,A New Approach Toward Hazard Mitigation by Designing Moveable Architectural Space,Lecture Notes in Civil Engineering,Conference Paper,unclear,unclear,none,include,
2-s2.0-85180515387,10.3390/biomimetics8080603,Mimosa Kinetic Façade: Bio-Inspired Ventilation Leveraging the Mimosa Pudica Mechanism for Enhanced Indoor Air Quality,Biomimetics,Article,material-driven,simulation,comfort,include,
2-s2.0-85171331771,10.1016/j.autcon.2023.105093,Machine-learned kinetic Façade: Construction and artificial intelligence enabled predictive control for visual comfort,Automation in Construction,Article,unclear,prototype,multiple,include,
2-s2.0-105003744645,10.1007/s44242-023-00025-3,Development of dynamic shading control for daylight measures in green buildings towards overall energy efficiency of lighting and air-conditioning systems,Low Carbon Materials and Green Construction,Article,unclear,unclear,multiple,include,
2-s2.0-85175349177,10.1016/j.jobe.2023.107656,Improving aerodynamic response of tall buildings using smart morphing facades,Journal of Building Engineering,Article,unclear,unclear,multiple,include,
2-s2.0-85170518530,10.1061/jaeied.aeeng-1646,Kinetic Shades: Designing a Shape-Morphing Device with Bistable Laminates and Shape Memory Actuators,Journal of Architectural Engineering,Article,material-driven,experiment,none,include,
2-s2.0-85171565341,10.1002/adsu.202300253,Large-Scaled and Solar-Reflective Kirigami-Based Building Envelopes for Shading and Occupants’ Thermal Comfort,Advanced Sustainable Systems,Article,origami-deployable,experiment,multiple,include,
2-s2.0-85165606815,10.1016/j.energy.2023.128257,On-site testing of dynamic facade system with the solar energy storage,Energy,Article,unclear,unclear,energy,include,
2-s2.0-85170421177,10.1016/j.enbuild.2023.113481,An evaluation of the demand response potential of integrated dynamic window and HVAC systems,Energy and Buildings,Article,mechanical,unclear,multiple,include,
2-s2.0-85179555847,10.1063/5.0176121,Wind turbine dynamic shading: The effects on combined solar and wind farms,Journal of Renewable and Sustainable Energy,Article,mechanical,experiment,energy,include,
2-s2.0-85167783854,10.1016/j.jobe.2023.107521,Pneufin: A switchable foil cushion inspired soft pneumatic adaptive shading,Journal of Building Engineering,Article,pneumatic-soft,experiment,multiple,include,
2-s2.0-85168003403,10.1016/j.enbuild.2023.113432,Evaluation of the effects of cut design parameters on the environmental performance of a kirigami-inspired façade concept,Energy and Buildings,Article,origami-deployable,simulation,energy,include,
2-s2.0-85163866442,10.1016/j.scs.2023.104740,Origami-based adaptive facade for reducing reflected solar radiation in outdoor urban environments,Sustainable Cities and Society,Article,origami-deployable,simulation,none,include,
2-s2.0-85171620926,10.1016/j.enbuild.2023.113391,A state-space model to control an adaptive facade prototype using data-driven techniques,Energy and Buildings,Article,origami-deployable,experiment,energy,include,
2-s2.0-85164364748,10.1016/j.foar.2023.05.010,A design framework for a kinetic shading device system for building envelopes,Frontiers of Architectural Research,Article,unclear,simulation,none,include,
2-s2.0-85169019778,10.1016/j.buildenv.2023.110751,Optimal temperature-actuated control of a thermally-insulated roller blind,Building and Environment,Article,unclear,experiment,multiple,include,
2-s2.0-85177842932,10.1063/5.0170347,The motion-based analysis of kinetic shading devices activated by smart materials,Aip Conference Proceedings,Conference Paper,unclear,unclear,energy,include,
2-s2.0-85163062642,10.1016/j.conbuildmat.2023.132028,Magnetic actuation of bistable flaps for kinetic building shades,Construction and Building Materials,Article,compliant,experiment,energy,include,
2-s2.0-85159225348,10.1016/j.jobe.2023.106800,Parametric design of an automated kinetic building façade using BIM: A case study perspective,Journal of Building Engineering,Article,unclear,simulation,energy,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85169091659,10.3390/app13169057,A Distributed Intelligent Lighting Control System Based on Deep Reinforcement Learning,Applied Sciences Switzerland,Article,unclear,prototype,multiple,include,
2-s2.0-85198731386,10.1115/1.4056928,Computational Design of Multi-State Lattice Structures With Finite Mechanisms for Shape Morphing,Journal of Mechanical Design,Article,unclear,experiment,energy,include,
2-s2.0-85150371652,10.1016/j.jobe.2023.106241,Enhancing visual comfort with Miura-ori-based responsive facade model,Journal of Building Engineering,Article,origami-deployable,simulation,multiple,include,
2-s2.0-85154620492,10.1016/j.buildenv.2023.110339,Thermal comfort and passive survivability in earthen buildings,Building and Environment,Article,material-driven,simulation,multiple,include,
2-s2.0-85149789328,10.1016/j.seta.2023.103124,Multivariate optimization towards energy balance with geometric constraints of building design and urban space intensity,Sustainable Energy Technologies and Assessments,Article,mechanical,experiment,energy,include,
2-s2.0-85163711219,10.3390/buildings13061381,Exploring Energy Retrofitting Strategies and Their Effect on Comfort in a Vernacular Building in a Dry Mediterranean Climate,Buildings,Article,unclear,unclear,multiple,include,
2-s2.0-85153672084,10.1016/j.buildenv.2023.110336,"Optimizing overheating, lighting, and heating energy performances in Canadian school for climate change adaptation: Sensitivity analysis and multi-objective optimization methodology",Building and Environment,Article,unclear,experiment,multiple,include,
2-s2.0-85144819052,10.1016/j.jobe.2022.105712,Experimental identification and verification of a moveable facade element for energy harvesting and vibration control,Journal of Building Engineering,Article,mechanical,experiment,energy,include,
2-s2.0-85153778105,10.3390/en16083411,Decision Support for Defining Adaptive Façade Design Goals in the Early Design Phase,Energies,Article,unclear,unclear,energy,include,
2-s2.0-85152645224,10.3390/app13074633,Kinetic Photovoltaic Facade System Based on a Parametric Design for Application in Signal Box Buildings in Switzerland,Applied Sciences Switzerland,Article,mechanical,simulation,energy,include,
2-s2.0-85157962488,10.1680/jener.21.00102,"Energy-efficient design of building facade, inspired by human skin",Proceedings of Institution of Civil Engineers Energy,Article,unclear,unclear,multiple,include,
2-s2.0-85156186000,10.3390/buildings13041090,Passive Intelligent Kinetic External Dynamic Shade Design for Improving Indoor Comfort and Minimizing Energy Consumption,Buildings,Article,unclear,experiment,multiple,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85151617946,10.3390/buildings13030782,Integrated Kinetic Fins for Western Facades in Territories with Low Solar Altitudes,Buildings,Article,unclear,simulation,multiple,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85150357468,10.37934/araset.29.3.6276,Solar Responsive Facade as Siamese Cultural Aesthetic Frontage in Malaysia,Journal of Advanced Research in Applied Sciences and Engineering Technology,Article,origami-deployable,unclear,daylight,include,
2-s2.0-85148695173,10.1089/3dp.2022.0061,Codesign of Biobased Cellulose-Filled Filaments and Mesostructures for 4D Printing Humidity Responsive Smart Structures,3D Printing and Additive Manufacturing,Article,material-driven,experiment,none,include,
2-s2.0-85142220025,10.1016/j.engstruct.2022.115152,A novel mechanism - smart morphing façade system - to mitigate wind-induced vibration of tall buildings,Engineering Structures,Article,mechanical,unclear,comfort,include,
2-s2.0-85140404295,10.1016/j.energy.2022.125699,Optimal energy performance of dynamic sliding and insulated shades for residential buildings,Energy,Article,mechanical,simulation,energy,include,
2-s2.0-85141579593,10.1080/19401493.2022.2142294,A novel approach to account for shape-morphing and kinetic shading systems in building energy performance simulations,Journal of Building Performance Simulation,Article,unclear,experiment,energy,include,
2-s2.0-85197195065,10.52842/conf.caadria.2023.1.493,PARAMETRIC DESIGN AND ANALYSIS OF DYNAMIC LOUVER FOR OPTIMIZED DAYLIGHTING IN HIGH-RISE OFFICE BUILDINGS,Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia,Conference Paper,mechanical,simulation,daylight,include,
2-s2.0-85169037133,,Effects of Kinetic Façades on Energy Performance: A Simulation in Patient’s Rooms of a Hospital in Iraq,Isvs E Journal,Article,unclear,simulation,energy,include,
2-s2.0-85169675352,10.1007/978-981-19-8637-6_36,Hexagonal Responsive Facade Prototype in Responding Sunlight,Computational Design and Robotic Fabrication,Book Chapter,mechanical,experiment,none,include,
2-s2.0-85141781427,10.1016/j.autcon.2022.104660,Flexural biomimetic responsive building façade using a hybrid soft robot actuator and fabric membrane,Automation in Construction,Article,material-driven,prototype,daylight,include,
2-s2.0-85169702223,10.1088/1755-1315/1210/1/012012,"Development and optimization of kinetic façade system for the improvement of visual comfort in an office building at Gurugram, India",Iop Conference Series Earth and Environmental Science,Conference Paper,unclear,simulation,multiple,include,
2-s2.0-85194192494,10.1109/smartcities4.056956.2023.10525757,Solar Radiation Analysis : Computational Performance Analysis for the Foldable Axis of a Responsive External Skin on the South Façade,2023 2nd International Conference on Smart Cities 4 0 Smart Cities 4 0 2023,Conference Paper,origami-deployable,experiment,energy,include,
2-s2.0-85185394858,10.1115/imece2023-113117,"INTELLIGENT FACADE INNOVATION (IFI): USING IIOT, DIGITAL TWIN, AND NEXT-GEN ARCHITECTURE DESIGNS",ASME International Mechanical Engineering Congress and Exposition Proceedings Imece,Conference Paper,unclear,unclear,none,include,
2-s2.0-85179510685,10.26868/25222708.2023.1499,Effect of Infill Height Design Variation of 4D-printed Hygromorphic-Based Louvers on Daylight Performance,Building Simulation Conference Proceedings,Conference Paper,material-driven,simulation,multiple,include,
2-s2.0-85145713061,10.1080/13467581.2022.2160636,Improving illuminance performance by implementing a kinetic façade system: case study of office building in Dubai,Journal of Asian Architecture and Building Engineering,Article,mechanical,simulation,multiple,include,
2-s2.0-85169662384,10.1088/1755-1315/1210/1/012003,Identifying external louver angle for residence opening to optimize the indoor environment for the composite climate of Delhi NCR,Iop Conference Series Earth and Environmental Science,Conference Paper,mechanical,simulation,multiple,include,
2-s2.0-85150176718,10.3389/fbuil.2023.1119696,Multi-performative façade systems: The case of real-time adaptive BIPV shading systems to enhance energy generation potential and visual comfort,Frontiers in Built Environment,Article,origami-deployable,simulation,multiple,include,
2-s2.0-85132763551,10.1080/17452007.2022.2085654,Integrating performance indicators in the production rules of shape-shifting grammars for architectural adaptive façade systems,Architectural Engineering and Design Management,Article,material-driven,experiment,none,include,
2-s2.0-85194529269,10.1007/978-3-031-36320-7_40,Adaptation to Extreme Sea-Level Events—Use of Pneumatic Building Envelopes,Sustainable Development Goals Series,Book Chapter,pneumatic-soft,unclear,none,include,
2-s2.0-85187286399,10.1109/aikiie60097.2023.10389818,Responsive Design and Adaptability of Building Skin Using Deep Learning Algorithms,IEEE 1st International Conference on Ambient Intelligence Knowledge Informatics and Industrial Electronics Aikiie 2023,Conference Paper,unclear,experiment,energy,include,
2-s2.0-105025581407,10.58491/2735-4202.3093,The Role of Smart Mashrabiya to Provide Daylighting in Office Buildings,Mej Mansoura Engineering Journal,Article,unclear,simulation,multiple,include,
2-s2.0-85173628216,10.1080/14786451.2023.2248514,The impact of a kinetic façade on the lighting performance and energy efficiency of a public building: the case of Dubai frame,International Journal of Sustainable Energy,Article,unclear,simulation,multiple,include,
2-s2.0-85187506554,10.47982/jfde.2023.1.03,An Evaluation Study of Shading Devices and Their Impact on the Aesthetic Perception vs. Their Energy Efficiency,Journal of Facade Design and Engineering,Article,unclear,experiment,multiple,include,
2-s2.0-85207568006,10.1007/978-3-031-25795-7_25,Impact of Automated Roof Shading on Building Energy Performance in Warm and Humid Climates of India,Sustainable and Digital Building Proceedings of the International Conference 2022,Book Chapter,mechanical,simulation,multiple,uncertain_fulltext,PROMOTE: retractable
2-s2.0-85171879026,10.52842/conf.ecaade.2023.1.439,4D Printing of Hygroscopic Wood Based Actuators for Climate Responsive Skin,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,material-driven,experiment,multiple,include,
2-s2.0-85148246406,10.13189/cea.2023.110221,A Sensitivity Analysis of Geometric Parameters of 4D-Printed Bidirectional Shape-Memory Composite in Architectural Façade Design,Civil Engineering and Architecture,Article,material-driven,prototype,none,include,
2-s2.0-85162162220,10.34133/research.0103,Switchable Kirigami Structures as Window Envelopes for Energy-Efficient Buildings,Research,Article,origami-deployable,unclear,energy,include,
2-s2.0-85114519423,10.1108/ecam-05-2021-0428,4D-printed parametric façade in architecture: prototyping a self-shaping skin using programmable two-way shape memory composite (TWSMC),Engineering Construction and Architectural Management,Article,material-driven,experiment,none,include,
2-s2.0-85144873747,10.3390/buildings12122089,Using a Biomimicry Approach in the Design of a Kinetic Façade to Regulate the Amount of Daylight Entering a Working Space,Buildings,Article,mechanical,experiment,multiple,include,
2-s2.0-85131514385,10.3992/jgb.17.1.71,RESPONSIVE KINETIC FAÇADE STRATEGY AND DETERMINATION OF THE EFFECT ON SOLAR HEAT GAIN USING PARAMETRIC BIM-BASED ENERGY SIMULATION,Journal of Green Building,Article,origami-deployable,simulation,multiple,include,
2-s2.0-85136534272,10.1016/j.tws.2022.109941,Novel shading modules with buckling as driver for shape morphing,Thin Walled Structures,Article,compliant,simulation,multiple,include,
2-s2.0-85138105517,10.1016/j.jobe.2022.105233,Experimental performance evaluation of a climate-responsive ventilated building façade,Journal of Building Engineering,Article,unclear,experiment,multiple,include,
2-s2.0-85144907737,10.3390/buildings12122236,Shape Memory Polymer Foam for Autonomous Climate-Adaptive Building Envelopes,Buildings,Article,material-driven,simulation,energy,include,
2-s2.0-85140907867,10.1016/j.ecmx.2022.100315,Optical evaluation of a smart transparent insulation material for window application,Energy Conversion and Management X,Article,mechanical,experiment,multiple,include,
2-s2.0-85143646090,10.3390/en15239214,Energy Balance Data-Based Optimization of Louver Installation Angles for Different Regions in Korea,Energies,Article,mechanical,simulation,multiple,include,
2-s2.0-85136141964,10.1016/j.scs.2022.104109,Optimal design of complex dynamic shadings: Towards sustainable built environment,Sustainable Cities and Society,Article,material-driven,experiment,multiple,include,
2-s2.0-85149470400,10.3390/buildings12112017,Development of a Solar Tracking-Based Movable Louver System to Save Lighting Energy and Create a Comfortable Light Environment,Buildings,Article,mechanical,prototype,multiple,include,
2-s2.0-85141722871,10.3390/en15218168,"Exploring the Effects of Climate-Adaptive Building Shells: An Applicative Time-Saving Algorithm on a Case Study in Bologna, Italy",Energies,Article,material-driven,experiment,energy,include,
2-s2.0-85134890855,10.1016/j.tws.2022.109749,"Functionalising buckling for structural morphing in kinetic façades: Concepts, strategies and applications",Thin Walled Structures,Article,material-driven,simulation,multiple,include,
2-s2.0-85136203135,10.1016/j.jobe.2022.105027,General morphological analysis of Orosi windows and morpho butterfly wing's principles for improving occupant's daylight performance through interactive kinetic façade,Journal of Building Engineering,Article,unclear,simulation,multiple,include,
2-s2.0-85163680546,10.1115/1.4056394,Assessment of Dynamic Photovoltaic Shading Systems on Energy Performance of Commercial Buildings,Journal of Engineering for Sustainable Buildings and Cities,Article,origami-deployable,unclear,energy,include,
2-s2.0-85143490994,10.1016/j.eml.2022.101909,Effect of crease curvature on the bistability of the origami waterbomb base,Extreme Mechanics Letters,Article,origami-deployable,experiment,energy,include,
2-s2.0-85148074544,10.3390/su142114163,Sensitivity Analysis for Decisive Design Parameters for Energy and Indoor Visual Performances of a Glazed Façade Office Building,Sustainability Switzerland,Article,origami-deployable,unclear,multiple,include,
