eid,eff_doi,title,source,doctype,abstract_status,decision,reason_category,confidence,judged_on,mechanism_family,study_type,performance_reported,one_line
2-s2.0-85214011602,10.1016/j.jobe.2024.111701,A review on adaptive and non-adaptive shading devices for sustainable buildings,Journal of Building Engineering,Review,ok,related_review,review,high,abstract,,,,review/secondary on facade topic — kept for intro/benchmark
2-s2.0-105003555631,10.1051/e3sconf/202562401003,The Importance of Renovation and Renewable Energies for Carbon Neutral Building,E3s Web of Conferences,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-85204870157,10.1016/j.foar.2024.08.002,A systematic method of generating hinged tessellations by adding hinged plates based on dual graphs,Frontiers of Architectural Research,Article,ok,include,,high,abstract,origami-deployable,unclear,none,facade + physical movement (kinetic facade)
2-s2.0-105003491014,10.3390/designs9020041,Review of Dynamic Building Envelope Systems and Technologies Utilizing Renewable Energy Resources,Designs,Review,ok,related_review,review,high,abstract,,,,review/secondary on facade topic — kept for intro/benchmark
2-s2.0-85218120860,10.1016/j.buildenv.2025.112724,An integrated adaptive façade system using a glass block filled with phase change material: Cooling energy load and performance enhancement,Building and Environment,Article,ok,exclude,facade_no_movement,high,abstract,,,,"thermal-dynamic, no moving part (latent heat; pcm; phase change material)"
2-s2.0-105002285610,10.3390/buildings15071123,Dynamic Integration of Shading and Ventilation: Novel Quantitative Insights into Building Performance Optimization,Buildings,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-85214140676,10.1016/j.tws.2024.112886,Experimental study on harnessing torsion-induced buckling of frames for adaptive shading modules,Thin Walled Structures,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-85213535470,10.1016/j.jobe.2024.111643,Energy-efficient building façades: A comprehensive review of innovative technologies and sustainable strategies,Journal of Building Engineering,Review,ok,related_review,review,high,abstract,,,,review/secondary on facade topic — kept for intro/benchmark
2-s2.0-105003462090,10.3390/designs9020031,Delta IXI: Deployable Structure with Flax Fibre Pultruded Profiles for Architectural Applications—Case Studies in Furniture and Adaptive Facade Systems,Designs,Article,ok,include,,high,abstract,origami-deployable,case-study,daylight,facade + physical movement (deployable; kinetic facade)
2-s2.0-85217063442,10.1016/j.enbuild.2025.115431,Fully exploiting solar energy with building envelops: Experimental study on an adjustable photovoltaic green facade,Energy and Buildings,Article,ok,include,,high,abstract,unclear,experiment,multiple,facade + physical movement (adjustable photovoltaic green facade; modules in the auto-adjusting)
2-s2.0-105001572160,10.1016/j.seta.2025.104297,Comprehensive performance analysis of semitransparent CdTe PV windows in static and dynamic facades: A real ship case study,Sustainable Energy Technologies and Assessments,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-85212953481,10.1016/j.jobe.2024.111645,Investigations for the daylighting performance of trapezoid profile shadings using multi-objective optimization,Journal of Building Engineering,Article,ok,include,,high,abstract,mechanical,simulation,multiple,facade + physical movement (louvers that adjust)
2-s2.0-86000295890,10.1007/s12273-025-1246-6,Improving outdoor thermal environmental quality through kinetic canopy empowered by machine learning and control algorithms,Building Simulation,Article,ok,exclude,not_facade,high,abstract,,,,no facade context and no movement signal
2-s2.0-86000763996,10.35378/gujs.1433809,"Multi-Objective Optimization of a Folding Kinetic Facade System Proposal for Thermal, Daylight, and Energy Performances",Gazi University Journal of Science,Article,ok,include,,high,abstract,origami-deployable,simulation,multiple,facade + physical movement (folding facade; folding kinetic facade; kinetic facade)
2-s2.0-85217028059,10.13189/cea.2025.130204,A Multi-objective Optimization for Passive Adaptive Envelope Integrating Smart Materials,Civil Engineering and Architecture,Article,ok,include,,high,abstract,material-driven,experiment,multiple,facade + physical movement (actuated; actuator; kinetic facade)
2-s2.0-85212415840,10.1061/jaeied.aeeng-1705,Utilizing Kinematic Models of Kinetic Facades to Obtain Optimal Natural Lighting in an Office Building,Journal of Architectural Engineering,Article,ok,include,,high,abstract,unclear,simulation,daylight,facade + physical movement (kinetic facade)
2-s2.0-105001327613,10.3390/architecture5010012,"Space-Containing Façades: Mediating Environmental, Social, and Urban Dynamics in Collective Housing Design",Architecture,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-86000285490,10.13189/cea.2025.130239,Machine Learning for Adaptive Facade Design: Enhancing Thermal Performance in Urban Architecture,Civil Engineering and Architecture,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105001114046,10.3390/buildings15060876,Design Optimization Approach for Residential Outdoor Environments Based on Seasonal Variations in Local Thermal Perception,Buildings,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105001090112,10.1177/01436244241306595,A comparison between the impact of dynamic envelope control strategies on the buildings’ smart readiness indicator and modelled performance,Building Services Engineering Research and Technology,Article,ok,include,,high,abstract,unclear,simulation,energy,facade + physical movement (movable)
2-s2.0-105006666309,10.20898/j.iass.2024.013,EVOLVING TENSEGRITY FAÇADE SYSTEMS: COMPUTATIONAL MORPHOGENESIS THROUGH MULTI-STEP OPTIMIZATION AND DIGITAL FABRICATION OF STRUCTURAL MODULES,Journal of the International Association for Shell and Spatial Structures,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105001124707,10.3390/buildings15060988,Enhancing Daylight and Energy Efficiency in Hot Climate Regions with a Perforated Shading System Using a Hybrid Approach Considering Different Case Studies,Buildings,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-86000503421,10.3390/su17052116,A Smart Roller Shutters Control for Enhancing Thermal Comfort and Sustainable Energy Efficiency in Office Buildings,Sustainability Switzerland,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-85215966151,10.1016/j.solener.2025.113306,Thermo-responsive hydrogel-based building envelopes for building energy-saving,Solar Energy,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-85217044784,10.1016/j.tsep.2025.103336,Assessing the thermal performance of building walls containing eco-friendly composite materials: A combined numerical and simulation approach,Thermal Science and Engineering Progress,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105001160974,10.3390/en18061402,Thermal Performance Evaluation of a Retrofitted Building with Adaptive Composite Energy-Saving Facade Systems,Energies,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105003105190,10.1007/s11012-024-01802-5,Hybrid origami-linkage vaulted deployable structures: parametric development and form-finding,Meccanica,Article,ok,include,,high,abstract,origami-deployable,simulation,daylight,facade + physical movement (deployable; origami; retractable)
2-s2.0-86000190113,10.1364/ol.550391,Blind signal reconstruction for continuous-time photonic time-stretch analog-to-digital converters,Optics Letters,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105000761001,10.1063/5.0258553,Tunable foil pneu: A concept study on kinetic shading systems for climate-sensitive building envelopes,Aip Conference Proceedings,Conference Paper,ok,include,,high,abstract,pneumatic-soft,experiment,multiple,facade + physical movement (inflat; kinetic shad)
2-s2.0-85214505558,10.1016/j.buildenv.2024.112409,User interaction with smart glazing: Effect of switching speed under overcast sky condition,Building and Environment,Article,ok,exclude,facade_no_movement,high,abstract,,,,"optical/material-state, no geometry (liquid crystal; switchable glaz)"
2-s2.0-85209902839,10.1016/j.tws.2024.112739,Design and photothermal coupling analysis of Kresling origami-based intelligent dynamic shading system,Thin Walled Structures,Article,ok,include,,high,abstract,material-driven,experiment,multiple,facade + physical movement (4d print; adjustable fan blade unit; adjusts the shade)
2-s2.0-85218453876,10.3390/buildings15040578,Technical Review of Solar Distribution Calculation Methods: Enhancing Simulation Accuracy for High-Performance and Sustainable Buildings,Buildings,Review,ok,related_review,review,high,abstract,,,,review/secondary on facade topic — kept for intro/benchmark
2-s2.0-85218636726,10.3390/en18040918,A Review of Artificial Intelligence Applications in Architectural Design: Energy-Saving Renovations and Adaptive Building Envelopes,Energies,Review,ok,related_review,review,high,abstract,,,,review/secondary on facade topic — kept for intro/benchmark
2-s2.0-85218903133,10.3390/urbansci9020030,“Build It and They Will Stay”: Assessing the Social Impact of Self-Build Practices in Urban Regeneration,Urban Science,Article,ok,include,,high,abstract,unclear,unclear,multiple,facade + physical movement (shading and movable)
2-s2.0-85218882604,10.3390/act14020045,Dynamic Envelope Optimization of Articulated Vehicles Based on Multi-Axle Steering Control Strategies,Actuators,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105011310369,10.62754/ais.v6i1.103,Enhancing building energy system design using computational intelligence for smart buildings,Architecture Image Studies,Article,ok,include,,high,abstract,unclear,simulation,multiple,facade + physical movement (façade structure capable of adjusting)
2-s2.0-85218120115,10.48619/ais.v6i1.1087,Enhancing building energy system design using computational intelligence for smart buildings,Architecture Image Studies,Article,ok,include,,high,abstract,unclear,simulation,multiple,facade + physical movement (façade structure capable of adjusting)
2-s2.0-85208399934,10.1016/j.apenergy.2024.124787,Experimental energy performance assessment of a smart controlled water-flow glazing adaptive facade in heating demand conditions,Applied Energy,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105023055856,10.1007/978-981-96-8769-5_10,Adaptive Façades for High-Rise Residential Buildings: A Qualitative Analysis of the Design Parameters and Methods,Lecture Notes in Civil Engineering,Conference Paper,ok,include,,high,abstract,origami-deployable,unclear,energy,facade + physical movement (facades have folded)
2-s2.0-105027941582,10.1088/1742-6596/3140/2/022009,Performance assessment of an adaptive opaque façade technology across diverse European climates: Energy efficiency and thermal comfort improvements,Journal of Physics Conference Series,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105023472535,10.52842/conf.caadria.2025.3.243,A Predictive Model for Dynamic Facades' Daylight Performance using Multimodal Fusion Learning,Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-85214263895,10.1080/17508975.2024.2448524,Proposal for a kinetic façade system based on curved line folding technique,Intelligent Buildings International,Article,ok,include,,high,abstract,origami-deployable,simulation,multiple,facade + physical movement (actuator; compliant mechanism; kinetic façade)
2-s2.0-105035258792,10.26868/25222708.2025.1749,Thermo-Bimetal Responsive Building Skins: Comparative Analysis of Self-Actuated Geometric Patterning and User Override on Daylight and Energy Efficiency,Building Simulation Conference Proceedings,Conference Paper,ok,include,,high,abstract,material-driven,simulation,multiple,facade + physical movement (actuated; kinetic facade)
2-s2.0-105014739375,10.1088/1742-6596/3071/1/012016,Designing buildings with potential for Artificial Intelligence integration: a conceptual study on adaptive façades,Journal of Physics Conference Series,Conference Paper,ok,include,,high,abstract,unclear,simulation,energy,facade + physical movement (façade's dynamic adjustments)
2-s2.0-85215760274,10.3390/su17020783,Sustainable Design: Minimizing Discomfort Glare Through Data-Driven Methods for Responsive Facades,Sustainability Switzerland,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-85216662439,10.55214/25768484.v9i1.4251,Advancing adaptive facades for a sustainable future in building design,Edelweiss Applied Science and Technology,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105020779547,10.1007/978-3-032-06993-1_5,Designing Adaptive Shading Components for 4D Printing,Lecture Notes in Civil Engineering,Conference Paper,ok,include,,high,abstract,material-driven,simulation,energy,facade + physical movement (4d print; 4d-print; actuator)
2-s2.0-105033349571,10.23968/2500-0055-2025-10-4-3-16,IMPACT OF ADAPTIVE BIOMIMETIC BUILDING SKINS ON INDOOR THERMAL COMFORT: A COMPUTATIONAL EVALUATION,Architecture and Engineering,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105019198767,10.37575/b/eng/250018,Building Energy Performance Assessment Based on a Bio-Inspired Kinetic Shading Devices,Scientific Journal of King Faisal University Basic and Applied Sciences,Article,ok,include,,high,abstract,material-driven,simulation,energy,facade + physical movement (kinetic shad)
2-s2.0-105010578532,10.1007/978-981-96-3804-8_7,Dynamic Shading Device Design with Computational Building Information Modelling for High-Rise Office Building in Tropical Climate,Lecture Notes in Civil Engineering,Conference Paper,ok,include,,high,abstract,mechanical,simulation,daylight,facade + physical movement (rotational operation of shading)
2-s2.0-85213027260,10.1007/978-981-97-8313-7_37,Dynamic Shading Device with Phase Change Materials: A Proof-of-Concept Towards Improving Thermal Comfort,Lecture Notes in Civil Engineering,Conference Paper,ok,exclude,facade_no_movement,high,abstract,,,,"thermal-dynamic, no moving part (pcm; phase change material)"
2-s2.0-105010688671,10.22616/erdev.2025.24.tf275,AI-DRIVEN PARAMETRIC FACADE DESIGN FOR ADAPTIVE ARCHITECTURAL PERFORMANCE,Engineering for Rural Development,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105026139531,10.52842/conf.ecaade.2025.1.421,Adaptive Façades for Activity-Specific Well-Being: Exploring emotional responses with virtual reality and machine learning,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,ok,include,,high,abstract,unclear,experiment,none,"facade + physical movement (moving, low-coverage façade)"
2-s2.0-105021829003,10.1007/978-3-032-06978-8_5,Experimental Investigation of Wood’s Hygroscopic Behavior for Adaptive Shading Systems in Building Façades,Lecture Notes in Civil Engineering,Conference Paper,ok,include,,high,abstract,material-driven,experiment,multiple,facade + physical movement (hygroscopic)
2-s2.0-105035257839,10.26868/25222708.2025.1848,Evaluating the Energy Performance of Climate-Adaptive Building Envelopes Using Shading Mask Map,Building Simulation Conference Proceedings,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105017583949,10.1007/978-981-96-3433-0_12,Hygroflex: A Prototype of a Water-Responsive Facade System with an Innovative Integration of Timber and Biopolymer,Computational Design and Robotic Fabrication,Book Chapter,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105016498349,10.12732/ijam.v38i1s.12,SIMULATION-BASED INVESTIGATION OF ETFE AND AUTOHEAL POLYMERS FOR ENERGY EFFICIENCY AND THERMAL COMFORT IN ADAPTIVE BUILDING ENVELOPES,International Journal of Applied Mathematics,Article,ok,include,,high,abstract,material-driven,simulation,multiple,facade + physical movement (kinetic facade)
2-s2.0-105018678599,10.1108/sasbe-07-2025-0388,An integrated generative-analytic framework for the performance-driven design of kinetic façades,Smart and Sustainable Built Environment,Article,ok,include,,high,abstract,unclear,simulation,multiple,facade + physical movement (kinetic façade)
2-s2.0-105011098115,10.1016/j.eng.2025.07.008,Material and Structural Optimization of Novel Phase-Change Thermal Diode for Dynamic Building Envelope,Engineering,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105030343309,10.1109/sefet65155.2025.11255452,Review of MPPT Techniques for Dynamic Partial Shading in Solar PV Systems,5th IEEE International Conference on Sustainable Energy and Future Electric Transportation Sefet 2025,Conference Paper,ok,related_review,review,high,abstract,,,,review/secondary on facade topic — kept for intro/benchmark
2-s2.0-105023482070,10.52842/conf.caadria.2025.3.305,A Workflow for Implementing Reinforcement Learning Incorporating Occupant Preference in Climate-Adaptive Facade Control,Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-85213006579,10.1007/978-981-97-8313-7_50,Dynamic Façade System for Building Retrofitting: A Numerical Study on a Tertiary Building in Italy,Lecture Notes in Civil Engineering,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105012552090,10.1080/23744731.2025.2534771,Biomimetic approach for beams-redirected adaptive facade with emphasis on user position and the clustered synthesis,Science and Technology for the Built Environment,Article,ok,include,,high,abstract,mechanical,simulation,multiple,facade + physical movement (panels tilt)
2-s2.0-105027940427,10.1088/1742-6596/3140/5/052003,Performance-driven Shape Memory-based kinetic solar shading design,Journal of Physics Conference Series,Conference Paper,ok,include,,high,abstract,material-driven,prototype,multiple,facade + physical movement (kinetic shad; shape memory)
2-s2.0-85213021333,10.1007/978-981-97-8313-7_66,How Adaptive Façade Can Contribute to Energy Saving in Tall Buildings?,Lecture Notes in Civil Engineering,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105034749056,10.65388/jdfd5647,A conceptual application of 4D-printed (4DP) bistable unit cells for climate-responsive façades systems,Proceedings of the International Conference of Architectural Science Association,Conference Paper,ok,include,,high,abstract,compliant,unclear,multiple,facade + physical movement (4d-print; bistable)
2-s2.0-85213043511,10.1007/978-981-97-8313-7_65,Impact of Dynamic Façades on Smart Readiness Indicator and User Satisfaction,Lecture Notes in Civil Engineering,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105023473343,10.52842/conf.caadria.2025.3.213,A Data-Driven Optimization Control Framework for Adaptive Solar Façades Balancing Photovoltaic Performance and Indoor Environment,Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105027936111,10.1088/1742-6596/3140/19/082009,Design of adaptive shading device with rigid origami technique: improving outdoor thermal comfort on pathways of university campus,Journal of Physics Conference Series,Conference Paper,ok,include,,high,abstract,origami-deployable,simulation,comfort,facade + physical movement (kinetic shad; origami; shading devices that can rotate)
2-s2.0-105026170058,10.52842/conf.ecaade.2025.1.211,Developing Machine Learning Models to Predict Outdoor Thermal Comfort of Kinetic Shading Devices: An approach for global optimization,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,ok,include,,high,abstract,origami-deployable,simulation,comfort,facade + physical movement (kinetic shad; origami)
2-s2.0-86000372255,10.1080/19401493.2024.2432915,LiDICS: a light dynamics interface for multi-domain simulation based on the FMI-standard,Journal of Building Performance Simulation,Article,ok,include,,high,abstract,pneumatic-soft,prototype,multiple,facade + physical movement (adjustable material and geometric façade)
2-s2.0-105035257977,10.26868/25222708.2025.1824,Deep Learning-Based Surrogate Modelling for Optimal Control of Climate-Responsive Adaptive Façade Systems,Building Simulation Conference Proceedings,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105035259439,10.26868/25222708.2025.1936,Energy flexibility potential of transparent responsive building envelope elements,Building Simulation Conference Proceedings,Conference Paper,ok,exclude,facade_no_movement,high,abstract,,,,"thermal-dynamic, no moving part (thermal storage)"
2-s2.0-105016413490,10.1088/1755-1315/1530/1/012008,Enhancing educational indoor daylighting performance using parametric adaptive facade design,Iop Conference Series Earth and Environmental Science,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-85209914920,10.1007/978-3-031-71867-0_6,Methodology for Designing Adaptive Facade Components: Smart Materials and 4D Printing for Resilient Construction,Lecture Notes in Civil Engineering,Conference Paper,ok,include,,high,abstract,material-driven,experiment,none,facade + physical movement (4d print; kinetic facade; shape memory)
2-s2.0-85209542698,10.1007/978-3-031-71863-2_44,Decision Criteria for the Assessment of Building Retrofit Integrating Innovative Façade Solutions,Lecture Notes in Civil Engineering,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-85217223177,10.1007/978-981-97-8305-2_1,Can the Building Envelope Play a Role in the Energy Transition?,Lecture Notes in Civil Engineering,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105029253996,10.52842/conf.ecaade.2025.2.285,"Bio-inspired Climate-responsive Wood Composite Architectural Facade Actuator: Architectural research based on the asclepias syriaca, mimosa pudica, and mandevilla plants as biological role models",Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,ok,include,,high,abstract,unclear,prototype,energy,facade + physical movement (actuator; self-shaping)
2-s2.0-105016892678,10.1109/icepe65965.2025.11139553,Adaptive MPPT Strategy for BIPV Systems Using MBGO Assisted P&O Under Dynamic Shading,7th International Conference on Energy Power and Environment Icepe 2025,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105007299259,10.1080/24751448.2025.2475720,A Framework for Energy and Thermal Performance Modeling in Net-Zero Urban Clusters,Technology Architecture and Design,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-85209555632,10.1016/j.enbuild.2024.115072,Optimizing the tilt angle of kinetic photovoltaic shading devices considering energy consumption and power Generation— Hong Kong case,Energy and Buildings,Article,ok,include,,high,abstract,mechanical,simulation,energy,facade + physical movement (kinetic façade)
2-s2.0-105027108460,10.1088/1755-1315/1568/1/012021,Enhancing Architectural Climate Adaptation Through Passive Building Envelope Strategies in Southern Europe: A Case study of the Moroccan Pavilion,Iop Conference Series Earth and Environmental Science,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105008398757,10.5334/bc.597,Exploring interactions between shading and view using visual difference prediction,Buildings and Cities,Article,ok,exclude,facade_no_movement,high,abstract,,,,"optical/material-state, no geometry (electrochrom)"
2-s2.0-105029224408,10.52842/conf.ecaade.2025.2.445,Smart Hinges Using Shape Memory Alloys for Architectural Applications,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,ok,include,,high,abstract,material-driven,unclear,energy,facade + physical movement (actuator; pneumatic; shape memory)
2-s2.0-105027204885,10.1088/1742-6596/3143/1/012055,Numerical Analysis of Performance of Dynamic Second-Skin Façades with Photovoltaic panels integrated in a Residential Building in Southern Italy,Journal of Physics Conference Series,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105003630660,10.1007/978-981-96-4051-5_119,Optimizing Dynamic Facade Performance Through Parametric Design: A Simulation-Based Strategy for Improving Daylighting and Visual Comfort in Office Building,Lecture Notes in Civil Engineering,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-85215956796,10.3390/buildings15020189,Evaluating the Performance of Fixed 3D-Printed and Dynamic Fabric Modules in a Second-Skin Façade System: A Residential Case Study in Southern Italy at Building and District Scales,Buildings,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105000775312,10.1007/978-3-031-84224-5_29,Developing Adaptive Educational Spaces Through a Theoretical Framework Based on Modularity and Digital Design,Lecture Notes in Civil Engineering,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-85213043877,10.1007/978-981-97-8313-7_56,Implementation of a Calculation Code for the Energy Modelling of Vertical Greenery Systems,Lecture Notes in Civil Engineering,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105016351794,10.1088/1755-1315/1530/1/012009,Daylight Performance-Based Design Model for Bio-adaptive Building Skin for Office Space of Administrative Buildings in Egypt,Iop Conference Series Earth and Environmental Science,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105022055882,10.3389/frsus.2025.1704207,Basic aspects of caring for green facades in the city of Košice,Frontiers in Sustainability,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-85205459706,10.1016/j.buildenv.2024.112163,Fusing Transformer and diffusion for high-resolution prediction of daylight illuminance and glare based on sparse ceiling-mounted input,Building and Environment,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105035362877,10.1109/giest66547.2025.11387715,ML-Driven MPPT Optimization for Photovoltaic Systems Under Dynamic Shading Conditions,2025 IEEE 2nd International Conference on Green Industrial Electronics and Sustainable Technologies Giest 2025,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-86000382132,10.1080/19401493.2024.2432916,"Parametric design workflow for solar, context-adaptive and reusable facades in changing urban environments",Journal of Building Performance Simulation,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105001208765,10.1109/access.2025.3551226,Optimizing Building Performance: A Grasshopper Modeling Case Study of the King Hussein Mosque,IEEE Access,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105035254087,10.26868/25222708.2025.1687,Assessing solar performance in advanced facades: Comparative analysis of control strategies using a dynamic key performance indicator,Building Simulation Conference Proceedings,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105033524339,10.7712/120125.12585.25759,ASSESSING THE IMPACT OF HORIZONTAL RESTRAINTS ON THE SEISMIC ROCKING OF MASONRY FAÇADES INCLUDING DYNAMIC SOIL-STRUCTURE INTERACTION,Compdyn Proceedings,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105018060394,10.1080/17452007.2025.2548549,ETFE-foils in pneumatically retractable civil engineering structures,Architectural Engineering and Design Management,Review,ok,related_review,review,high,abstract,,,,review/secondary on facade topic — kept for intro/benchmark
2-s2.0-85213058639,10.1007/978-981-97-8313-7_44,Climate-Responsive Building Envelope Retrofit: Insulation Strategies in a Changing Environment,Lecture Notes in Civil Engineering,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105019365078,10.15627/jd.2025.25,Evaluating Daylighting Performance of Parametric Mashrabiya in Mediterranean Climate: A Simulation-based Approach,Journal of Daylighting,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105024071458,10.1061/9780784486627.030,Data-Driven Decision-Making Suppors Smart and Efficient Building Energy Retrofit for Meizhou Pantian Chaoke Cultural and Rural Buildings,Iccrem 2025 Decarbonization and Digitalization of the Built Environment Shaping Resilience in A Changing World Proceedings of the International Conference on Construction and Real Estate Management 2025,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-85212313638,10.1016/j.energy.2024.134205,Study on the application of a dynamic photovoltaic integrated light shelf for office buildings,Energy,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105009440994,10.1109/tte.2025.3581349,Resilience-Oriented Asynchronous Decentralized Restoration Considering Building and E-Bus Coresponse in Electricity-Transportation Networks,IEEE Transactions on Transportation Electrification,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
