eid,doi,title,year,source,doctype,oa_concepts,stage1_decision,reason_category,method,signals
2-s2.0-105021344387,10.1016/j.jvscit.2025.102015,Laser fenestration and shape memory polymer embolization of type II endoleaks,2026,Journal of Vascular Surgery Cases Innovations and Techniques,Article,Medicine:0.831; Fenestration:0.802; Embolization:0.785; Refractory (planetary science):0.679; Radiology:0.498; Surgery:0.448; Laser:0.402; Biomedical engineering:0.387,include,kinetic_facade,rule,strong:shape memory | bldg:fenestration
2-s2.0-105023574388,10.1016/j.enconman.2025.120837,An innovative control strategy for Breathing Walls aimed at both heating and cooling energy savings,2026,Energy Conversion and Management,Article,TRNSYS:0.924; Building envelope:0.661; Ventilation (architecture):0.609; Engineering:0.515; Thermal comfort:0.511; Work (physics):0.501; Flexibility (engineering):0.477; Airflow:0.473,exclude,thermal_static,rule,thermal:breathing wall
2-s2.0-105030680123,10.1051/e3sconf/202668904010,Dynamic Thermal Adaptive Façades: A Comparative Review of Existing Taxonomies,2026,E3s Web of Conferences,Conference Paper,CLARITY:0.639; Modular design:0.608; Computer science:0.563; Scale (ratio):0.416; Systems engineering:0.389; Risk analysis (engineering):0.381; Data science:0.365; Engineering:0.344,uncertain,soft_motion_facade,ai,soft:adaptive; dynamic | bldg:façade
2-s2.0-105023149306,10.1016/j.enbuild.2025.116753,Movement optimization of a movable façade using bimetal as actuators for enhanced indoor airflow,2026,Energy and Buildings,Article,Bimetal:0.89; Louver:0.737; Airflow:0.676; Natural ventilation:0.586; Finite element method:0.584; Aluminium:0.55; Materials science:0.514; Bimetallic strip:0.484,include,kinetic_facade,rule,strong:actuat; movable; movement | bldg:façade; indoor; louver
2-s2.0-105010091312,10.1016/j.eswa.2025.128869,3D-PV: Enhancing PV power prediction by modeling spatial uncertainty under dynamic shading conditions,2026,Expert Systems with Applications,Article,Shading:0.768; Photovoltaic system:0.698; Computer science:0.685; Power (physics):0.458; Artificial intelligence:0.413; Machine learning:0.326; Computer graphics (images):0.102; Electrical engineering:0.089,exclude,PV_electrical,rule,PV_electrical:pv
2-s2.0-105021992137,10.1016/j.enbuild.2025.116685,Predicting energy usage in fixed-area office buildings: A comprehensive ANN-based study with electrochromic glazing,2026,Energy and Buildings,Article,Glazing:0.905; Parametric statistics:0.623; Field (mathematics):0.522; Computer science:0.507; Deep learning:0.455; Machine learning:0.452; Energy consumption:0.451; Energy (signal processing):0.449,exclude,optical_static,rule,optical:electrochrom
2-s2.0-105026119541,10.1016/j.energy.2025.139802,Energy assessment of PCM/T system integrated with interior shading cells in building glass facades,2026,Energy,Article,Shading:0.774; Environmental science:0.671; Inlet:0.632; Thermal:0.618; Thermal comfort:0.604; Reduction (mathematics):0.472; Marine engineering:0.439; Energy (signal processing):0.402,exclude,thermal_static,rule,thermal:pcm
2-s2.0-105033382870,10.37868/hsd.v8i1.1973,Effects of building façade architectural design elements on thermal comfort and energy efficiency,2026,Heritage and Sustainable Development,Article,Passive cooling:0.705; Thermal comfort:0.688; Building envelope:0.679; Efficient energy use:0.609; Solar gain:0.546; Heat flux:0.535; Environmental science:0.526; Heat transfer:0.494,uncertain,facade_no_explicit_motion,ai,bldg:architect; building; envelope
2-s2.0-105021472577,10.1016/j.buildenv.2025.113948,Evaluating permeable pavements' impact on the thermal environment in street canyons through outdoor experiments under hot and humid background climate,2026,Building and Environment,Article,Canyon:0.94; Sensible heat:0.818; Environmental science:0.749; Impervious surface:0.677; Albedo (alchemy):0.648; Evaporative cooler:0.577; Street canyon:0.543; Heat flux:0.519,uncertain,building_generic,ai,bldg:journal
2-s2.0-105022661726,10.1016/j.buildenv.2025.114040,Assessing cooling–lighting trade-offs in a low-income Jordanian housing archetype under climate change and heat waves,2026,Building and Environment,Article,Daylight:0.87; Overheating (electricity):0.824; Shading:0.667; Heat wave:0.629; Environmental science:0.603; Building envelope:0.592; Solar gain:0.53; Roof:0.506,uncertain,facade_no_explicit_motion,ai,bldg:building; daylight; envelope
2-s2.0-105022288003,10.1016/j.buildenv.2025.113983,Effects of building shading on outdoor adaptive thermal comfort and the development of predictive models,2026,Building and Environment,Article,Thermal comfort:0.897; Thermal sensation:0.866; Context (archaeology):0.609; Thermal:0.607; Environmental science:0.6; Shading:0.576; Simulation:0.456; Adaptation (eye):0.441,uncertain,soft_motion_facade,ai,soft:adaptive | bldg:building; thermal comfort
2-s2.0-105021081103,10.1016/j.applthermaleng.2025.128924,Thermal performance and climate applicability analysis of multiple building envelopes,2026,Applied Thermal Engineering,Article,Envelope (radar):0.655; Environmental science:0.644; Building envelope:0.589; Adaptability:0.562; Thermal:0.499; Sensitivity (control systems):0.495; Cooling load:0.446; Phase-change material:0.428,uncertain,facade_no_explicit_motion,ai,bldg:building; envelope
2-s2.0-105019973828,10.1016/j.solmat.2025.114000,A bioinspired approach for adaptive solid-solid phase change material coatings with optimized surface features for passive thermal regulation,2026,Solar Energy Materials and Solar Cells,Article,Materials science:0.687; Coating:0.593; Leverage (statistics):0.563; Thermal:0.555; Surface roughness:0.548; Surface (topology):0.463; Photonics:0.459; Selective surface:0.45,exclude,thermal_static,rule,thermal:phase change material
2-s2.0-105015075076,10.1002/adma.202511392,Smart Skin for Zero Energy Buildings: A Review of Thermoresponsive Spectral-Adaptive Envelopes,2026,Advanced Materials,Review,Materials science:0.63; Opacity:0.554; Building envelope:0.544; Smart material:0.511; Computer science:0.473; Actuator:0.463; Efficient energy use:0.43; Thermal:0.416,include,kinetic_facade,rule,strong:actuat | soft:adaptive; responsive; smart | bldg:building; envelope; skin
2-s2.0-105027260676,10.1007/s43995-025-00272-4,Harnessing wind energy through responsive kinetic façades for sustainable building design,2026,Journal of Umm Al Qura University for Engineering and Architecture,Article,Modular design:0.624; Renewable energy:0.592; Systems engineering:0.535; Wind power:0.513; Engineering:0.47; Energy engineering:0.448; Energy transformation:0.41; Architectural engineering:0.382,include,kinetic_facade,rule,strong:kinetic | soft:responsive | bldg:architect; building; façade
2-s2.0-105038479955,10.1007/978-3-032-10546-2_136,"Curved-Folding Biomimicry-Inspired Kinetic Facades: Integrating Composite Materials for Energy-Efficient, Motorless Adaptive Building Envelope",2026,Lecture Notes in Civil Engineering,Conference Paper,Materials science:0.496; Composite number:0.373; Building envelope:0.346; Work (physics):0.336; Kinetic energy:0.336; Composite material:0.32; Envelope (radar):0.32; Structural engineering:0.313,include,kinetic_facade,rule,strong:fold; kinetic | soft:adaptive | bldg:building; envelope; facade
2-s2.0-105038570681,10.1007/978-3-032-10546-2_99,Advancing Simulation Tools: Adaptive Façades for Building Decarbonization,2026,Lecture Notes in Civil Engineering,Conference Paper,Computer science:0.387; Environmental science:0.35; Engineering:0.338; Production (economics):0.261; Work (physics):0.261; Process (computing):0.258; Key (lock):0.249; Field (mathematics):0.228,uncertain,soft_motion_facade,ai,soft:adaptive | bldg:building; façade
2-s2.0-105035744454,10.1007/978-981-95-1826-5_17,Dynamic Shading Device with Phase Change Materials: Optimized Performance for Resilient and Sustainable Building Stock,2026,Lecture Notes in Civil Engineering,Conference Paper,Shading:0.774; Adaptability:0.655; Sizing:0.649; Dynamic simulation:0.549; Computer science:0.434; Phase change:0.396; Simulation:0.372; Phase-change material:0.344,uncertain,soft_motion_facade,ai,soft:dynamic | bldg:building; shading device
2-s2.0-105035769971,10.1080/17452007.2026.2658645,"Responsive building façades: a systematic review of technologies, challenges, and future directions",2026,Architectural Engineering and Design Management,Review,Engineering:0.414; Computer science:0.393; Architectural engineering:0.334; Management science:0.328; Systems engineering:0.325; Construction engineering:0.312; Risk analysis (engineering):0.292; Key (lock):0.29,uncertain,soft_motion_facade,ai,soft:responsive | bldg:architect; building; construction
2-s2.0-105009429618,10.1080/14733315.2025.2524918,Performance optimization of an office building with a dynamic façade system,2026,International Journal of Ventilation,Article,Architectural engineering:0.549; Engineering:0.443; Computer science:0.371,uncertain,soft_motion_facade,ai,soft:dynamic | bldg:architect; building; façade
2-s2.0-105037803012,10.1109/SoutheastCon63549.2026.11476704,Intelligent Facades: An IIoT and Digital Twin Framework for Occupancy-Aware Kinetic Envelope Control,2026,Conference Proceedings IEEE SOUTHEASTCON,Conference Paper,Computer science:0.502; Control theory (sociology):0.494; Envelope (radar):0.442; Control (management):0.41; Control engineering:0.376; Control system:0.363; Kinetic energy:0.344; Engineering:0.322,include,kinetic_facade,rule,strong:kinetic | soft:intelligent | bldg:envelope; facade
2-s2.0-105033982139,10.3389/fbuil.2026.1788657,Multi-criteria performance assessment of an adaptive kinetic photovoltaic shading system,2026,Frontiers in Built Environment,Article,Photovoltaic system:0.813; Daylight:0.777; Shading:0.583; Solar gain:0.582; Solar energy:0.559; Automotive engineering:0.516; Engineering:0.418; Simulation:0.411,include,kinetic_facade,rule,strong:kinetic | soft:adaptive | bldg:daylight; shading system
2-s2.0-105039709363,10.1155/ina/9959278,"Deep Reinforcement Learning–Based Multiobjective Control of Hybrid Building Envelopes: Integrating Adaptive Façades, Passive Radiative Cooling, and Indoor Air Quality Management Across Iranian Climates",2026,Indoor Air,Article,Indoor air quality:0.748; Building envelope:0.638; Environmental science:0.596; Thermal comfort:0.529; Robustness (evolution):0.522; Passive cooling:0.498; Computer science:0.4; Air quality index:0.398,uncertain,soft_motion_facade,ai,soft:adaptive | bldg:building; envelope; façade
2-s2.0-105028162151,10.1051/epjpv/2025026,Vehicle integrated photovoltaics module architecture optimization under dynamic shading,2026,EPJ Photovoltaics,Article,Shading:0.823; Interconnection:0.681; Photovoltaics:0.594; Photovoltaic system:0.583; Computer science:0.555; Overhead (engineering):0.471; Maximum power point tracking:0.442; Point (geometry):0.437,uncertain,soft_motion_facade,ai,soft:dynamic | bldg:architect
2-s2.0-105029808836,10.3389/fbuil.2025.1753356,Adaptive high-performance and multifunctional façade systems,2026,Frontiers in Built Environment,Article,Micrometeoroid:0.601; Daylighting:0.566; Photovoltaic system:0.529; Context (archaeology):0.528; Computer science:0.487; Architectural engineering:0.421; Smart lighting:0.408; Systems engineering:0.408,uncertain,soft_motion_facade,ai,soft:adaptive; smart | bldg:architect; daylight; façade
2-s2.0-105035721791,10.1007/978-981-95-1826-5_41,Dynamic Ventilated Façades for Lightweight Buildings: A Strategy for Mitigating Overheating,2026,Lecture Notes in Civil Engineering,Conference Paper,Overheating (electricity):0.885; Thermal:0.512; Thermal comfort:0.477; Efficient energy use:0.467; Inertia:0.433; Environmental science:0.424; Energy conservation:0.384; Thermal inertia:0.384,uncertain,soft_motion_facade,ai,soft:dynamic | bldg:building; façade; thermal comfort
2-s2.0-105038361506,10.63044/w26xio184,Environmentally Responsive Shading Structures with Sensor-Based Prefabricated Mechanical Systems,2026,ASHRAE Transactions,Conference Paper,Mechanical system:0.504; Mechanical engineering:0.377; Computer science:0.374; Engineering:0.368; Shading:0.364; Engineering drawing:0.326; Materials science:0.303; Window (computing):0.274,uncertain,soft_motion_facade,ai,soft:responsive | bldg:window
2-s2.0-105021080659,10.1016/j.enbuild.2025.116677,Smart Readiness Indicator metric for building envelope structures,2026,Energy and Buildings,Article,Glazing:0.914; Building envelope:0.745; Envelope (radar):0.605; Grid:0.455; Engineering:0.445; Smart grid:0.445; Reliability engineering:0.413; Curtain wall:0.408,uncertain,soft_motion_facade,ai,soft:smart | bldg:building; curtain wall; envelope
2-s2.0-105028619059,10.3390/buildings16020366,Assessment and Numerical Modeling of the Thermophysical Efficiency of Newly Developed Adaptive Building Envelopes Under Variable Climatic Impacts,2026,Buildings,Article,Environmental science:0.707; Building envelope:0.593; Thermal comfort:0.556; Thermal:0.544; Meteorology:0.505; Cladding (metalworking):0.503; Air temperature:0.469; Transient (computer programming):0.448,uncertain,soft_motion_facade,ai,soft:adaptive | bldg:building; envelope; thermal comfort
2-s2.0-105020666081,10.1007/978-3-032-03769-5_17,Enhancing Customer Perceptions and Satisfaction Towards AI Driven Windows Facade Market in South India,2026,Lecture Notes in Networks and Systems,Conference Paper,Facade:0.897; Glazing:0.692; Daylight:0.567; Architectural engineering:0.558; Sustainability:0.512; Energy consumption:0.477; Investment (military):0.456; Incentive:0.436,uncertain,facade_no_explicit_motion,ai,bldg:architect; daylight; facade
2-s2.0-105034853758,10.1007/978-3-032-00461-1_15,Emerging Applications of Conducting Polymer in Modern Architecture,2026,Springer Series on Polymer and Composite Materials,Book Chapter,Context (archaeology):0.556; Nanotechnology:0.549; Architecture:0.537; Engineering:0.496; Intersection (aeronautics):0.461; Architectural engineering:0.417; Conductive polymer:0.371; Systems engineering:0.333,uncertain,building_generic,ai,bldg:architect
2-s2.0-105033272638,10.3389/fbuil.2026.1756470,Deformability of perforated bending-active façade plates,2026,Frontiers in Built Environment,Article,Structural engineering:0.689; Actuator:0.621; Perforation:0.56; Deformation (meteorology):0.521; Envelope (radar):0.518; Stress (linguistics):0.512; Nonlinear system:0.505; Fibre-reinforced plastic:0.441,include,kinetic_facade,rule,strong:actuat | bldg:façade
2-s2.0-105018669060,10.1016/j.buildenv.2025.113861,Energy performance and optimal design of three typical dynamic photovoltaic façade systems for office buildings in hot-summer- cold-winter climate zone,2026,Building and Environment,Article,Photovoltaic system:0.806; Facade:0.633; Energy consumption:0.542; Environmental science:0.483; Azimuth:0.472; Energy (signal processing):0.469; Optimal design:0.423; Solar energy:0.423,uncertain,soft_motion_facade,ai,soft:dynamic | bldg:building; facade; façade
2-s2.0-105032131255,10.3389/fbuil.2025.1738453,CNC-knitted textiles for adaptive building envelopes: material programming and interdisciplinary design strategies,2026,Frontiers in Built Environment,Article,Engineering:0.505; Building envelope:0.504; Architectural engineering:0.49; Function (biology):0.462; Smart material:0.459; Envelope (radar):0.44; Textile:0.436; Key (lock):0.433,uncertain,soft_motion_facade,ai,soft:adaptive; smart | bldg:architect; building; envelope
2-s2.0-105033682453,10.53898/JOSSE2025548,A Systematic Review of Kinetic Architecture as a Strategy for Improving Thermal Comfort in Office Buildings in Hot-Dry Climates,2026,Journal of Studies in Science and Engineering,Article,Identification (biology):0.503; Leverage (statistics):0.479; Computer science:0.447; Engineering:0.432; Domain (mathematical analysis):0.408; Artificial intelligence:0.381; Quality (philosophy):0.377; Knowledge management:0.364,include,kinetic_facade,rule,strong:kinetic | bldg:architect; building; thermal comfort
2-s2.0-105031576063,10.1080/13467581.2026.2633017,Integrated two-stage optimization of façade adaptation and renewable systems for indoor comfort in NZEBs,2026,Journal of Asian Architecture and Building Engineering,Article,Adaptation (eye):0.59; Renewable energy:0.574; Computer science:0.549; Architectural engineering:0.398; Engineering:0.346; Environmental science:0.322; Systems engineering:0.32; Reliability engineering:0.285,uncertain,facade_no_explicit_motion,ai,bldg:architect; façade; indoor
2-s2.0-105031866483,10.1007/s40974-026-00405-y,A data-driven multi-objective optimization to tailor the impact of orientation on cooling loads of residential building in hot climate,2026,Energy Ecology and Environment,Article,Envelope (radar):0.825; Building envelope:0.693; Orientation (vector space):0.645; Sensitivity (control systems):0.597; Constraint (computer-aided design):0.521; Thermal:0.508; Thermal comfort:0.496; Cooling load:0.442,uncertain,facade_no_explicit_motion,ai,bldg:building; envelope; thermal comfort
2-s2.0-105034796236,10.1007/s00707-026-04664-y,Dynamic behavior of graphene-origami-based meta-auxetic doublet nanobeam with memory-dependent effect,2026,Acta Mechanica,Article,Nonlinear system:0.618; Viscoelasticity:0.594; Solid mechanics:0.591; Relaxation (psychology):0.537; Materials science:0.516; Work (physics):0.484; Thermal:0.454; Operator (biology):0.451,exclude,biomed_biology,ai_rescreen,strong:origami | soft:dynamic
2-s2.0-105028227685,10.1126/scirobotics.ady7233,Architectural swarms for responsive façades and creative expression,2026,Science Robotics,Article,Swarm behaviour:0.755; Swarm robotics:0.621; Modular design:0.573; Computer science:0.561; Software deployment:0.556; Scalability:0.545; Human–computer interaction:0.544; Architecture:0.523,uncertain,soft_motion_facade,ai,soft:responsive | bldg:architect; façade
2-s2.0-105027416039,10.1016/j.ecmx.2025.101515,"A synergistic approach: Automating PCM and passive strategies for climate-resilient, low-energy buildings",2026,Energy Conversion and Management X,Article,Overheating (electricity):0.828; Computer science:0.529; Thermal comfort:0.516; Natural ventilation:0.482; Climate change:0.437; Environmental science:0.435; Parametric statistics:0.4; Efficient energy use:0.382,exclude,thermal_static,rule,thermal:pcm
2-s2.0-105030534261,10.1108/SASBE-05-2025-0218,From nature to structure: advancing building efficiency with biomimicry-inspired green façades,2026,Smart and Sustainable Built Environment,Article,,uncertain,facade_no_explicit_motion,ai,bldg:building; façade
2-s2.0-105035035434,10.1609/aaai.v40i14.38192,KPLM-STA: Physically-Accurate Shadow Synthesis for Human Relighting via Keypoint-Based Light Modeling,2026,Proceedings of the Aaai Conference on Artificial Intelligence,Conference Paper,Computer vision:0.767; Shadow (psychology):0.747; Artificial intelligence:0.721; Computer science:0.719; Bounding overwatch:0.626; Projection (relational algebra):0.522; Computer graphics (images):0.52; Shadow mapping:0.487,exclude,medical_graphics,rule,medical_graphics:relight
2-s2.0-105023586208,10.1007/978-3-032-06806-4_93,Use of Digital Twin Tools to Improve Residential House Performance,2026,Lecture Notes in Civil Engineering,Conference Paper,Architectural engineering:0.552; Greenhouse gas:0.442; Footprint:0.414; Built environment:0.392; Engineering:0.386; Energy consumption:0.375; Energy (signal processing):0.364; Photovoltaic system:0.363,uncertain,building_generic,ai,bldg:architect
2-s2.0-105034407954,10.1016/j.foar.2026.01.009,"Optimising thermal performance of steel façades through self-shading: Calibration, sensitivity analysis, and climatic implications",2026,Frontiers of Architectural Research,Article,Cladding (metalworking):0.798; Thermal:0.613; Environmental science:0.484; Materials science:0.475; HVAC:0.425; Thermal comfort:0.387; Bridging (networking):0.371; Structural engineering:0.346,uncertain,facade_no_explicit_motion,ai,bldg:façade; hvac; thermal comfort
2-s2.0-105034936501,10.1016/j.enbenv.2026.02.006,Targeting integrated daylighting comfort in deep office by multi-objective optimization using partial vertical deployment of adaptive corrugated shadings,2026,Energy and Built Environment,Article,Software deployment:0.744; Daylight:0.733; Shading:0.616; Visibility:0.6; Daylighting:0.576; GLARE:0.532; Computer science:0.453; Energy consumption:0.4,uncertain,soft_motion_facade,ai,soft:adaptive | bldg:daylight
2-s2.0-105031747480,10.1007/978-3-032-14019-7_16,Climate Responsive Form and Facade Design for Educational Spaces to Achieve Net-Zero Energy Building in Dhaka,2026,Lecture Notes in Civil Engineering,Conference Paper,Daylight:0.82; Facade:0.779; Architectural engineering:0.761; Building envelope:0.639; Photovoltaic system:0.609; Daylighting:0.578; Renewable energy:0.547; Building science:0.529,uncertain,soft_motion_facade,ai,soft:responsive | bldg:architect; building; daylight
2-s2.0-105035175870,10.1007/978-3-032-16767-5_63,Integrated IFC Protocols for Sustainable Conservation and Energy Efficiency of Historic Buildings,2026,Rilem Bookseries,Book Chapter,Interoperability:0.808; Efficient energy use:0.719; Retrofitting:0.638; Workflow:0.572; Building envelope:0.523; Systems engineering:0.469; Engineering:0.437; Building information modeling:0.425,uncertain,facade_no_explicit_motion,ai,bldg:building; envelope
2-s2.0-105030282749,10.1080/02678292.2026.2627357,Nanofiber-engineered multichromic PDLCs with dynamic pattern switching for advanced adaptive fenestration,2026,Liquid Crystals,Article,Materials science:0.801; Optics:0.557; Liquid crystal:0.503; Optoelectronics:0.412; Fenestration:0.403; Acoustics:0.352; Electronic engineering:0.303; Computer science:0.285,uncertain,soft_motion_facade,ai,soft:adaptive; dynamic | bldg:fenestration
2-s2.0-105038839103,10.1109/ACCESS.2026.3693382,"Event-Driven, Condition-Aware MPPT Framework for Robust Tracking Under Partial Shading and Dynamic Irradiance",2026,IEEE Access,Article,Computer science:0.728; Shading:0.658; Irradiance:0.658; Tracking (education):0.599; Control theory (sociology):0.566; Maximum power point tracking:0.532; Robustness (evolution):0.403; Photovoltaic system:0.313,exclude,PV_electrical,rule,PV_electrical:mppt
2-s2.0-105035611869,10.1007/978-3-032-16381-3_4,Spatial–Angular Distribution of Aerodynamic Coefficients and Static Pressure on Residential Building Facades Under Wind Flow,2026,Lecture Notes in Mechanical Engineering,Conference Paper,Aerodynamics:0.72; Environmental science:0.482; Wind engineering:0.456; Computational fluid dynamics:0.422; Work (physics):0.408; Context (archaeology):0.383; Static pressure:0.38; Engineering:0.372,uncertain,soft_motion_facade,ai,soft:dynamic | bldg:building; facade
2-s2.0-105027169041,10.1007/978-3-032-01363-7_47,Multiphysics Coupled Fault Modeling and Simulation Analysis of Offshore Photovoltaic Systems,2026,Mechanisms and Machine Science,Conference Paper,Multiphysics:0.76; Photovoltaic system:0.705; Tilt (camera):0.67; Fault (geology):0.653; Reliability (semiconductor):0.517; Submarine pipeline:0.502; Engineering:0.485; Power (physics):0.432,exclude,PV_electrical,rule,PV_electrical:photovoltaic
2-s2.0-105038421078,10.1007/978-3-032-15954-0_7,How to Design: Emerging Methods and Tools,2026,Green Energy and Technology,Book Chapter,,exclude,off_topic_lowsignal,ai_rescreen,
2-s2.0-105020939510,10.1016/j.enbuild.2025.116629,A variable thermal transmittance adaptive wall: comparison between CFD simulations and experimental tests,2026,Energy and Buildings,Article,Computational fluid dynamics:0.831; Thermal transmittance:0.719; Thermal:0.687; Transmittance:0.61; Building envelope:0.54; HVAC:0.486; Envelope (radar):0.471; Energy consumption:0.46,uncertain,soft_motion_facade,ai,soft:adaptive; dynamic | bldg:building; envelope; hvac
2-s2.0-105034993145,10.1609/aaai.v40i27.39458,Palimpsest: Reconciling the CISS Trilemma for Incremental Nuclei Segmentation,2026,Proceedings of the Aaai Conference on Artificial Intelligence,Conference Paper,Computer science:0.774; Segmentation:0.683; Artificial intelligence:0.641; Residual:0.523; Computer vision:0.446; Cluster analysis:0.435; Robustness (evolution):0.407; Pattern recognition (psychology):0.382,exclude,biomed_biology,rule,biomed_biology:nuclei segmentation
2-s2.0-105033474273,10.30822/arteks.v11i1.4973,Energy-efficient building design in tropical climates: A systematic literature review of heat transfer strategies,2026,Arteks Jurnal Teknik Arsitektur,Article,Architectural engineering:0.699; Passive cooling:0.601; Thermal comfort:0.552; Building science:0.493; Building design:0.479; Systematic review:0.457; Passive solar building design:0.449; Systems engineering:0.416,uncertain,building_generic,ai,bldg:architect; building; thermal comfort
2-s2.0-105029422297,10.1080/13467581.2026.2620975,Response mechanisms between daylighting performance and skylight design variables in underground public spaces,2026,Journal of Asian Architecture and Building Engineering,Article,Skylight:0.929; Daylight:0.791; Facade:0.595; Glazing:0.584; Daylighting:0.571; Architectural engineering:0.564; Ceiling (cloud):0.523; Building design:0.438,uncertain,facade_no_explicit_motion,ai,bldg:architect; building; daylight
2-s2.0-105030176196,10.1007/978-981-96-9724-3_33,Hybrid PO-FUZZY MPPT for Multilevel Boost Converter Fed PV System Under Partial Shading Condition,2026,Lecture Notes in Electrical Engineering,Conference Paper,Maximum power point tracking:0.683; Photovoltaic system:0.673; Shading:0.664; Control theory (sociology):0.645; Boost converter:0.603; Fuzzy logic:0.577; Computer science:0.572; Microgrid:0.485,exclude,PV_electrical,rule,PV_electrical:boost converter; mppt; pv
2-s2.0-105029271876,10.1016/j.enbenv.2025.09.001,Human-shading interaction in shared offices: An experimental study,2026,Energy and Built Environment,Article,,uncertain,facade_no_explicit_motion,ai,bldg:journal
2-s2.0-105031822121,10.3389/fbuil.2026.1728896,Development of EnergySkin: external wall temperature control for renovation,2026,Frontiers in Built Environment,Article,Facade:0.871; Photovoltaic system:0.633; Modular design:0.632; Renewable energy:0.565; Thermal insulation:0.561; Mechanical engineering:0.453; Thermal energy storage:0.43; Electrical conductor:0.404,exclude,thermal_static,rule,thermal:thermal energy storage
2-s2.0-105037009853,10.1109/ICECTE69292.2026.11429406,An Enhanced Cuckoo Search Algorithm for Maximum Power Point Tracking of PV Systems under Partial Shading Conditions,2026,2026 5th International Conference on Electrical Computer and Telecommunication Engineering Icecte 2026,Conference Paper,Cuckoo search:0.754; Photovoltaic system:0.526; Computer science:0.502; Maximum power point tracking:0.478; Point (geometry):0.477; Tracking (education):0.477; Algorithm:0.443; Shading:0.434,exclude,PV_electrical,rule,PV_electrical:maximum power point; pv
2-s2.0-105038495510,10.1007/978-3-032-10546-2_103,Introducing Personalized Environmental Control Systems for Daylighting and Lighting,2026,Lecture Notes in Civil Engineering,Conference Paper,Computer science:0.476; Architectural engineering:0.442; Daylighting:0.417; Control (management):0.403; Control system:0.389; Engineering:0.375; Systems engineering:0.355; Environmental control system:0.285,uncertain,building_generic,ai,bldg:architect; daylight
2-s2.0-105020852803,10.1016/j.solener.2025.114088,A two-stage MPPT control for PV system under complex partial shading conditions,2026,Solar Energy,Article,Maximum power point tracking:0.792; Computer science:0.711; Photovoltaic system:0.679; Duty cycle:0.64; Shading:0.576; Control theory (sociology):0.573; Particle swarm optimization:0.535; Swarm behaviour:0.446,exclude,PV_electrical,rule,PV_electrical:mppt; pv
2-s2.0-105039610228,10.1109/TIE.2026.3675033,SARSA-Based Smart Coordinated Strategy for Enhancing PV Array Performance Under Dynamic Shading Conditions,2026,IEEE Transactions on Industrial Electronics,Article,Photovoltaic system:0.607; Computer science:0.583; Shading:0.542; Electronic engineering:0.431; Engineering:0.329; Automotive engineering:0.321; Transient analysis:0.281; Maximum power point tracking:0.276,exclude,PV_electrical,rule,PV_electrical:pv
2-s2.0-105036126683,10.1002/lpor.202502924,Visibly-Transparent Mechanically-Tunable Infrared Modulator,2026,Laser and Photonics Reviews,Article,Materials science:0.739; Optoelectronics:0.713; Infrared:0.662; Visible spectrum:0.607; Indium tin oxide:0.582; Transmittance:0.571; Optics:0.55; Modulation (music):0.459,exclude,other_nonbuilding,ai_rescreen,
2-s2.0-105036388496,10.1109/EPREC66546.2026.11412136,Adaptive Modulation and Harmonic Mitigation in Grid-Connected CHB PV Inverters,2026,2026 International Conference on Electric Power and Renewable Energy Eprec 2026,Conference Paper,Harmonic:0.533; Computer science:0.472; Control theory (sociology):0.443; Modulation (music):0.431; Electronic engineering:0.431; Power (physics):0.362; Frequency modulation:0.359; Physics:0.354,exclude,PV_electrical,rule,PV_electrical:grid-connected; inverter; pv
2-s2.0-105038315170,10.63044/w26alh180,Investigation of Thermochromic and Cool Surface Coating in Reducing Energy Use from Buildings Considering Current and Future Weather Data,2026,ASHRAE Transactions,Conference Paper,Environmental science:0.551; Current (fluid):0.551; Meteorology:0.428; Coating:0.42; Energy (signal processing):0.383; Remote sensing:0.371; Materials science:0.345; Microclimate:0.318,exclude,optical_static,rule,optical:thermochrom
2-s2.0-105032234655,10.3389/fbuil.2026.1750586,Designing more-than-human thermal comfort: bio-inspired evaporative cooling in porous facade components for cavity-nesting wild bees,2026,Frontiers in Built Environment,Article,Facade:0.858; Environmental science:0.62; Evaporative cooler:0.571; Thermal:0.559; Nesting (process):0.529; Habitat:0.522; Urban heat island:0.489; Porosity:0.439,uncertain,soft_motion_facade,ai,soft:bio-inspired | bldg:facade; thermal comfort
2-s2.0-105036656127,10.1039/d6mh00022c,Thermoresponsive hydrogel-powered zero-energy greenhouses: intelligent shading and water irrigation,2026,Materials Horizons,Article,Irrigation:0.67; Water scarcity:0.643; Yield (engineering):0.618; Materials science:0.547; Shading:0.532; Environmental science:0.518; Scarcity:0.513; Water cooling:0.475,exclude,ecology_agri,ai_rescreen,soft:intelligent; responsive
2-s2.0-105026583740,10.1007/978-3-032-14170-5_47,Integrating Carbon Sink and Recycled Materials into Modular Façade Systems,2026,Rilem Bookseries,Book Chapter,Constructability:0.877; Modular design:0.841; Sustainability:0.69; Material efficiency:0.521; Durability:0.482; Prefabrication:0.477; Life-cycle assessment:0.44; Construction engineering:0.42,uncertain,facade_no_explicit_motion,ai,bldg:construction; façade
