eid,doi,title,year,source,issn,volume,issue,pageRange,doctype,first_author,author_names,author_ids,affilname,affiliation_country,citedby_count,openaccess,authkeywords,oa_match,oa_title_sim,openalex_id,oa_authors,oa_n_authors,oa_institutions,oa_countries,oa_rors,oa_concepts,oa_topics,oa_n_referenced_works,oa_cited_by_count,oa_counts_by_year,oa_is_oa,oa_oa_status,oa_source,oa_issn,oa_pub_year,oa_type,cr_match,cr_funders,cr_n_funders,cr_license_types,cr_has_license,cr_reference_count,cr_issn,cr_container_title,cr_published_year,cr_type
2-s2.0-105034154479,10.3390/eng7030119,Parametric Investigation of Climate-Responsive Roof Design Strategies for Buildings in India,2026,Eng,,7,3,,Article,Gopalakrishnan S.,,,SRM Institute of Science and Technology,India,0,1,,doi,,https://openalex.org/W7133362589,S. Gopalakrishnan; Radhakrishnan Shanthi Priya; Yoo Kee Law; Chng Saun Fong; Ramalingam Senthil,5,SRM Institute of Science and Technology; University of Malaya,IN; MY,https://ror.org/050113w36; https://ror.org/00rzspn62,Solar gain:0.817; Roof:0.736; Reflective surfaces:0.711; Thermal insulation:0.651; Environmental science:0.603; Building envelope:0.599; Heat transfer:0.555; Dynamic insulation:0.515,Building Energy and Comfort Optimization; Urban Heat Island Mitigation; Solar Energy Systems and Technologies,0,0.0,[],True,gold,Eng—Advances in Engineering,2673-4117,2026.0,article,doi,,0,vor,True,88.0,2673-4117,Eng,2026.0,journal-article
2-s2.0-105025476275,10.1016/j.enbuild.2025.116895,Numerical analysis of a glassed dynamic PCMs solar wall,2026,Energy and Buildings,03787788,353,,,Article,Zabihi Sheshpoli A.,,,Universitat de Lleida,Spain,0,1,,doi,,https://openalex.org/W4417537424,Amirhossein Zabihi Sheshpoli; Alicia Crespo; Grau Baquero; Alvaro de Gracia,4,Universitat de Lleida; Universitat Rovira i Virgili,ES,https://ror.org/050c3cw24; https://ror.org/00g5sqv46,Facade:0.673; Phase-change material:0.645; Thermal:0.505; Solar gain:0.5; Materials science:0.475; Computer simulation:0.459; Thermal energy storage:0.434; Dynamic simulation:0.432,Phase Change Materials Research; Solar Thermal and Photovoltaic Systems; Solar Energy Systems and Technologies,34,0.0,[],True,hybrid,Energy and Buildings,0378-7788; 1872-6178,2025.0,article,doi,Ministerio de Ciencia e Innovación; Federación Española de Enfermedades Raras; Gobierno de Espana Ministerio de Ciencia e Innovacion,3,tdm; vor,True,54.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105025372668,10.1016/j.enbuild.2025.116861,"Optimizing building energy efficiency through microalgae façades: impact of cell density, biomass, and panel thickness on solar heat gain and light transmittance",2026,Energy and Buildings,03787788,353,,,Article,Sangdeh P.K.,,,The University of North Carolina at Charlotte,United States,1,1,,doi,,https://openalex.org/W4417299349,Parham Kheirkhah Sangdeh; Kyoung Hee Kim; Matthew W. Parrow,3,University of North Carolina at Charlotte; OrthoCarolina,US,https://ror.org/04dawnj30; https://ror.org/03446fm19,ASHRAE 90.1:0.679; Transmittance:0.669; Solar gain:0.587; Environmental science:0.557; Efficient energy use:0.547; Building energy simulation:0.542; Shading:0.522; Solar energy:0.488,Algal biology and biofuel production; Solar-Powered Water Purification Methods; Light effects on plants,36,1.0,"[{""year"": 2026, ""cited_by_count"": 1}]",True,hybrid,Energy and Buildings,0378-7788; 1872-6178,2025.0,article,doi,National Science Foundation; National Science Foundation Directorate for Engineering,2,tdm; vor,True,40.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105030716921,10.36922/JCAU025120026,Energy savings from the shading performance of devices in highly glazed multi-story office buildings in the tropical climates of China and India,2026,Journal of Chinese Architecture and Urbanism,,8,1,,Article,Chandrasekaran C.,,,Vellore Institute of Technology,India,2,1,,doi,,https://openalex.org/W4414575994,C. Chandrasekaran; Kumudhavalli Sasidhar; A. Madhumathi,3,,,,Tropical climate:0.702; Shading:0.698; Environmental science:0.594; Tropics:0.525; Subtropics:0.483; Meteorology:0.48; Cooling load:0.445; Urbanization:0.426,Building Energy and Comfort Optimization,0,2.0,"[{""year"": 2026, ""cited_by_count"": 2}]",True,hybrid,Journal of Chinese Architecture and Urbanism,2717-5626,2025.0,article,doi,,0,unspecified,True,0.0,2717-5626,Journal of Chinese Architecture and Urbanism,2025.0,journal-article
2-s2.0-105026234652,10.1002/smll.202512061,Carbon Nanotube Artificial Muscles Multistimuli Actuation Mechanisms and Emerging Applications,2026,Small,16136810,22,8,,Review,Kim C.,,,University of Oxford;SKKU Advanced Institute of Nano Technology,United Kingdom;South Korea,2,0,,doi,,https://openalex.org/W7117754652,Chaehee Kim; Sihyeok Kim; Siun Kim; Mina Kim; SeungHee Park; Dong‐Hwan Kim; Il Jeon,7,University of Oxford; Institute of Nanotechnology; Sungkyunkwan University; University of Bristol; Tohoku University,GB; KR; JP,https://ror.org/052gg0110; https://ror.org/02ma7yv75; https://ror.org/04q78tk20; https://ror.org/0524sp257; https://ror.org/01dq60k83,Artificial muscle:0.719; Nanotechnology:0.641; Actuator:0.629; Materials science:0.579; Soft robotics:0.539; Carbon nanotube:0.489; Computer science:0.436; Biomimetics:0.415,Advanced Materials and Mechanics; Dielectric materials and actuators; Advanced Sensor and Energy Harvesting Materials,118,0.0,[],False,closed,Small,1613-6810; 1613-6829,2025.0,article,doi,"Ministry of Science and ICT, South Korea; Japan Society for the Promotion of Science",2,tdm; vor,True,121.0,1613-6810; 1613-6829,Small,2025.0,journal-article
2-s2.0-105030437657,10.1117/12.3098842,Iterative digital elevation model optimization via ray tracing and multiscale dynamic shape-from-shading reconstruction,2026,Proceedings of SPIE the International Society for Optical Engineering,0277786X,14057,,,Conference Paper,Zhang Z.,,,University of Chinese Academy of Sciences;Technology and Engineering Center for Space Utilization,China;China,0,0,,doi,,https://openalex.org/W7127169022,Ziyi Zhang; Chengbao Liu; Peng Zhang; Zhao Dong; Shijing He; Ziwei Tian,6,,,,Digital elevation model:0.536; Computer science:0.505; Algorithm:0.459; Computer vision:0.45; Artificial intelligence:0.406; Ray tracing (physics):0.402; Iterative method:0.362; Iterative reconstruction:0.341,Computer Graphics and Visualization Techniques; 3D Shape Modeling and Analysis; Digital Image Processing Techniques,0,0.0,[],False,closed,,,2026.0,article,doi,,0,,False,0.0,,Fourth International Conference on Environmental Remote Sensing and Geographic Information Technology (ERSGIT 2025),2026.0,proceedings-article
2-s2.0-105030025564,10.3390/app16031574,Sustainable Urban Planning for High-Rise Residential Complexes Using an Adaptive Facade System,2026,Applied Sciences Switzerland,,16,3,,Article,Choi H.S.,,,Gachon University,South Korea,0,1,,doi,,https://openalex.org/W7127581475,Ho Soon Choi,1,Gachon University,KR,https://ror.org/03ryywt80,Facade:0.96; Apartment:0.768; Architectural engineering:0.677; Renewable energy:0.567; Computer science:0.374; Software:0.369; Geographic information system:0.356; Urban planning:0.355,Building Energy and Comfort Optimization; Seismic and Structural Analysis of Tall Buildings; Architecture and Computational Design,0,0.0,[],True,gold,Applied Sciences,2076-3417,2026.0,article,doi,Gachon University,1,vor,True,46.0,2076-3417,Applied Sciences,2026.0,journal-article
2-s2.0-105031363848,10.3390/buildings16040798,Evaluation of the Annual Power Generation Characteristics and Energy Efficiency of Sun-Tracking Photovoltaic Windows in the Hangzhou Area,2026,Buildings,,16,4,,Article,Yang X.,,,Zhejiang Agriculture and Forestry University,China,0,1,,doi,,https://openalex.org/W7128954749,Xinyi Yang; Kun Gao; S B Zhang; Liping He,4,Zhejiang A & F University; The University of Kitakyushu,CN; JP,https://ror.org/02vj4rn06; https://ror.org/03mfefw72,Photovoltaic system:0.788; Photovoltaics:0.632; Environmental science:0.623; Electricity:0.573; Glazing:0.568; Electricity generation:0.561; Renewable energy:0.56; Automotive engineering:0.421,Solar Thermal and Photovoltaic Systems; Building Energy and Comfort Optimization; Solar Energy Systems and Technologies,0,0.0,[],True,gold,Buildings,2075-5309,2026.0,article,doi,,0,vor,True,27.0,2075-5309,Buildings,2026.0,journal-article
2-s2.0-105031493650,10.3390/buildings16040861,A Conceptual Framework for Pollution-Resilient Aluminium Façades: Introducing the Pollution Degradation Modifier (PDM),2026,Buildings,,16,4,,Article,Naqash M.T.,,,Islamic University of Madinah,Saudi Arabia,0,1,,doi,,https://openalex.org/W7130858474,Muhammad Tayyab Naqash; Antonio Formisano,2,Islamic University of Madinah; University of Naples Federico II,SA; IT,https://ror.org/03rcp1y74; https://ror.org/05290cv24,Pollution:0.626; Durability:0.618; Resilience (materials science):0.549; Conceptual framework:0.496; Pollutant:0.488; Conceptual design:0.457; Construction engineering:0.415; Environmental planning:0.411,Structural Analysis of Composite Materials; Corrosion Behavior and Inhibition; Wind and Air Flow Studies,0,0.0,[],True,gold,Buildings,2075-5309,2026.0,article,doi,,0,vor,True,64.0,2075-5309,Buildings,2026.0,journal-article
2-s2.0-105024348554,10.1016/j.buildenv.2025.114098,Experimental and numerical investigation of a thermal diode double phase change wall for energy-efficient building envelopes,2026,Building and Environment,03601323,289,,,Article,Gao Y.,,,Wuhan University of Technology,China,2,0,,doi,,https://openalex.org/W4416958821,Yahui Gao; Tingzhen Ming; Huang Xiong; Jiyuan Zhou; Xianglin Yuan; Wenyu Li; Wenting Lin; Yongjia Wu,8,Wuhan University of Technology; Sanya University; Nanjing University of Science and Technology; Chongqing Normal University,CN,https://ror.org/03fe7t173; https://ror.org/04fa2qd52; https://ror.org/00xp9wg62; https://ror.org/01dcw5w74,Overheating (electricity):0.742; Glazing:0.646; Materials science:0.615; Environmental science:0.594; Thermal:0.593; Phase-change material:0.53; Phase change:0.478; Thermal energy storage:0.472,Phase Change Materials Research; Solar Thermal and Photovoltaic Systems; Transition Metal Oxide Nanomaterials,35,2.0,"[{""year"": 2026, ""cited_by_count"": 2}]",False,closed,Building and Environment,0360-1323; 1873-684X,2025.0,article,doi,Education Department of Hainan Province; Fundamental Research Funds for the Central Universities; National Natural Science Foundation of China; National Natural Science Foundation of China,4,stm-asf; tdm,True,40.0,0360-1323,Building and Environment,2026.0,journal-article
2-s2.0-105031454334,10.3390/machines14020210,Control Method and Simulation of Reconfigurable Façade Cable-Driven Parallel Robots Based on Heuristic Local Rules,2026,Machines,,14,2,,Article,Li Y.,,,Shanghai University of Engineering Science,China,0,1,,doi,,https://openalex.org/W7128589911,YuJun Li; Chaofeng Liu; Yang Liu; S. K. Li; Fujun Yang; Mingheng Yu; Zhiyuan Chen; L. Shao; Jingke Yan,9,Shanghai University of Engineering Science,CN,https://ror.org/0557b9y08,Robustness (evolution):0.73; Computer science:0.601; Modular design:0.55; Control theory (sociology):0.538; Kinematics:0.521; Heuristic:0.488; Parallel manipulator:0.424; Benchmark (surveying):0.408,Robotic Mechanisms and Dynamics; Dynamics and Control of Mechanical Systems; Structural Analysis and Optimization,24,0.0,[],True,gold,Machines,2075-1702,2026.0,article,doi,,0,vor,True,24.0,2075-1702,Machines,2026.0,journal-article
2-s2.0-105031427646,10.3390/buildings16040771,From Biomimicry to Climate-Responsive Architecture: Prioritizing Bio-Based and Bio-Inspired Strategies for Sustainable Buildings in Tropical Monsoon Climates,2026,Buildings,,16,4,,Article,Quoc Toan N.,,,Hanoi University of Civil Engineering,Viet Nam,0,1,,doi,,https://openalex.org/W7128787545,Nguyen Quoc Toan; Nguyen Thi Khanh Phuong; Nguyen Van Tam; Le Quoc Viet,4,Hanoi University of Civil Engineering; Bạch Mai Hospital; Phenikaa University; Hanoi Architectural University,VN,https://ror.org/01351mb48; https://ror.org/05ecec111; https://ror.org/03anxx281; https://ror.org/03c8sfz84,Environmental resource management:0.509; Cladding (metalworking):0.497; Architectural engineering:0.477; Sustainability:0.472; Engineering:0.441; Sustainable design:0.437; Natural ventilation:0.429; Natural resource:0.425,Plant and Biological Electrophysiology Studies; Hygrothermal properties of building materials; Architecture and Computational Design,80,0.0,[],True,gold,Buildings,2075-5309,2026.0,article,doi,,0,vor,True,92.0,2075-5309,Buildings,2026.0,journal-article
2-s2.0-105022659001,10.1016/j.buildenv.2025.114018,Comprehensive review on the impact of building envelopes on indoor thermal comfort in office buildings: Balancing occupant comfort and energy efficiency,2026,Building and Environment,03601323,289,,,Review,Hong D.,,,Ltd.,China,10,0,,doi,,https://openalex.org/W4416423534,Duqin Hong; Ran Cheng; Hao Lei; Xiaohui Zhou; Liu Yang; Chi Feng; Shan Gao,7,Yunnan Building Materials Research & Design Institute; Chongqing University; Sichuan Provincial Architectural Design and Research Institute (China),CN,https://ror.org/03hh6sn09; https://ror.org/023rhb549; https://ror.org/00eqa6a26,Thermal comfort:0.899; Building envelope:0.785; Architectural engineering:0.659; Efficient energy use:0.595; Thermal insulation:0.529; Envelope (radar):0.529; Building science:0.501; Building automation:0.493,Building Energy and Comfort Optimization; Aerogels and thermal insulation; Hygrothermal properties of building materials,148,10.0,"[{""year"": 2026, ""cited_by_count"": 9}, {""year"": 2025, ""cited_by_count"": 1}]",False,closed,Building and Environment,0360-1323; 1873-684X,2025.0,article,doi,National Natural Science Foundation of China; Fundamental Research Funds for the Central Universities; Fundamental Research Funds for the Central Universities; China Postdoctoral Science Foundation,4,stm-asf; tdm,True,169.0,0360-1323,Building and Environment,2026.0,journal-article
2-s2.0-105023821177,10.1016/j.enbuild.2025.116801,Learning personalized visual comfort: A data-driven adaptive shading control framework using artificial intelligence,2026,Energy and Buildings,03787788,352,,,Article,Hao L.,,,Tongji University,China,0,2,,doi,,https://openalex.org/W4416919415,Luoxi Hao; Lei Pang; Jean‐Louis Scartezzini; Junli Xu; Yujie Wu,5,Tongji University; Shanghai Tongji Urban Planning and Design Institute; China Three Gorges Corporation (China); École Polytechnique Fédérale de Lausanne; Soochow University,CN; CH,https://ror.org/03rc6as71; https://ror.org/03gb38m78; https://ror.org/02yqt2385; https://ror.org/02s376052; https://ror.org/05t8y2r12,Computer science:0.702; Convolutional neural network:0.659; Artificial intelligence:0.632; Software deployment:0.621; Daylight:0.549; Adaptation (eye):0.54; Machine learning:0.488; Artificial neural network:0.415,Building Energy and Comfort Optimization; Indoor Air Quality and Microbial Exposure; Architecture and Computational Design,49,0.0,[],True,green,Energy and Buildings,0378-7788; 1872-6178,2025.0,article,doi,Key Technologies Research and Development Program; Innosuisse Swiss Innovation Agency; National Key Research and Development Program of China; Ministry of Science and Technology of the People's Republic of China,4,stm-asf; tdm,True,54.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105031380734,10.3390/su18041860,Envelope Retrofitting by Building-Integrated Agricultural Greenhouses: A Multi-Objective Form Optimisation Procedure,2026,Sustainability Switzerland,,18,4,,Article,Labrozzi E.,,,Politecnico di Milano,Italy,0,1,,doi,,https://openalex.org/W7128597926,Erpinio Labrozzi; Gabriele Stancato; Valentina Dessi; Matteo Clementi; Szu-Cheng Chien; Chew Beng Soh,6,Politecnico di Milano; Singapore Institute of Technology,IT; SG,https://ror.org/01nffqt88; https://ror.org/01v2c2791,Facade:0.685; Retrofitting:0.662; Overheating (electricity):0.546; Environmental science:0.525; Building envelope:0.503; Parametric statistics:0.44; Greenhouse:0.415; Scheduling (production processes):0.385,Greenhouse Technology and Climate Control; Urban Agriculture and Sustainability; Urban Heat Island Mitigation,0,0.0,[],True,gold,Sustainability,2071-1050,2026.0,article,doi,"the Italian Ministry of Foreign Affairs and International Cooperation; Singapore Agency for Science, Technology and Research (A*STAR) First Executive Programme of Scientific and Technological Cooperation",2,vor,True,40.0,2071-1050,Sustainability,2026.0,journal-article
2-s2.0-105024887111,10.1016/j.buildenv.2025.114051,Mitigation effects of building facade buffer zones on wind-driven rain: Insights from field measurements,2026,Building and Environment,03601323,289,,,Article,Huang S.,,,South China University of Technology,China,1,0,,doi,,https://openalex.org/W4416642834,Shan Huang; Yiqiang Xiao; Lu Yao; Qiaosheng Zhan; Fengyin Wang; Shangjie Yang; Shi Yin,7,South China University of Technology; Guangdong University of Technology,CN,https://ror.org/0530pts50; https://ror.org/04azbjn80,Facade:0.932; Environmental science:0.716; Building envelope:0.6; Intensity (physics):0.556; Meteorology:0.473; Airflow:0.389; Wind speed:0.38; Atmospheric sciences:0.375,Wind and Air Flow Studies; Fire dynamics and safety research; Indoor Air Quality and Microbial Exposure,43,1.0,"[{""year"": 2026, ""cited_by_count"": 1}]",False,closed,Building and Environment,0360-1323; 1873-684X,2025.0,article,doi,National Natural Science Foundation of China,1,stm-asf; tdm,True,49.0,0360-1323,Building and Environment,2026.0,journal-article
2-s2.0-105031432796,10.3390/w18040463,Integrated Passive Cooling Techniques for Energy-Efficient Greenhouses in Hot–Arid Environments: Evidence from a Systematic Review,2026,Water Switzerland,,18,4,,Review,Benzzine H.,,,Université Ibn Tofail,Morocco,0,1,,doi,,https://openalex.org/W7128586824,Hamza Benzzine; Hicham Labrim; Ibtissam El Aouni; Khalid Bouali; Yasmine Achour; Aouatif Saad; Driss Zejli; Rachid El Bouayadi,8,Université Ibn-Tofail; Mohammed V University,MA,https://ror.org/02wj89n04; https://ror.org/00r8w8f84,Environmental science:0.767; Greenhouse:0.652; Daytime:0.632; Passive cooling:0.612; Limiting:0.545; Heat exchanger:0.522; Shading:0.501; Meteorology:0.482,Greenhouse Technology and Climate Control; Wind and Air Flow Studies; Solar Energy Systems and Technologies,118,0.0,[],True,gold,Water,2073-4441,2026.0,article,doi,,0,vor,True,130.0,2073-4441,Water,2026.0,journal-article
2-s2.0-105029539559,10.1007/s40435-025-01990-2,Advanced control strategy for energy optimization in microgrids using intelligent algorithms: gray wolf optimizer and ANFIS,2026,International Journal of Dynamics and Control,2195268X,14,2,,Article,Lachheb A.,,,"University of Carthage, Ecole Nationale d'Ingenieurs de Carthage",Tunisia,0,0,,doi,,https://openalex.org/W7128436676,Aymen Lachheb; Noureddine Akoubi; Jamel Ben Salem,3,University of Carthage,TN,https://ror.org/057x6za15,Control theory (sociology):0.702; Maximum power point tracking:0.628; Photovoltaic system:0.612; State of charge:0.573; Adaptive neuro fuzzy inference system:0.558; Microgrid:0.555; Computer science:0.505; Voltage droop:0.447,Advanced Battery Technologies Research; Microgrid Control and Optimization; Smart Grid Energy Management,29,0.0,[],False,closed,International Journal of Dynamics and Control,2195-268X; 2195-2698,2026.0,article,doi,,0,tdm; vor,True,33.0,2195-268X; 2195-2698,International Journal of Dynamics and Control,2026.0,journal-article
2-s2.0-105027156887,10.1016/j.jobe.2026.115230,Optimizing bio-based phase change materials in operable façade cavities to enhance cooling energy efficiency,2026,Journal of Building Engineering,,119,,,Article,Aalami N.,,,University of Tehran;RMIT University,Iran;Australia,2,1,,doi,,https://openalex.org/W7119678714,Negin Aalami; Tariq Maqsood; Muhammed Ashraful Alam Bhuiyan; Mahdieh Abravesh; Guomin Zhang,5,University of Tehran; RMIT University,AU; IR,https://ror.org/05vf56z40; https://ror.org/04ttjf776,Thermal:0.675; Phase-change material:0.644; Attenuation:0.634; Materials science:0.537; Work (physics):0.523; Parametric statistics:0.489; Thermal conduction:0.483; Energy (signal processing):0.483,Phase Change Materials Research; Hygrothermal properties of building materials; Solar Energy Systems and Technologies,38,2.0,"[{""year"": 2026, ""cited_by_count"": 2}]",True,hybrid,Journal of Building Engineering,2352-7102,2026.0,article,doi,RMIT University,1,tdm; vor,True,47.0,2352-7102,Journal of Building Engineering,2026.0,journal-article
2-s2.0-105021344387,10.1016/j.jvscit.2025.102015,Laser fenestration and shape memory polymer embolization of type II endoleaks,2026,Journal of Vascular Surgery Cases Innovations and Techniques,,12,1,,Article,Kedwai B.J.,,,Harvard Medical School,United States,0,1,,doi,,https://openalex.org/W4415220072,Baqir J. Kedwai; Zachary R. Zottola; Joel Kruger; Joshua T. Geiger; Fred J. Clubb; Staci J. Horn; Michael C. Stoner; Doran Mix,8,Beth Israel Deaconess Medical Center; Harvard University; Indiana University School of Medicine; Indiana University – Purdue University Indianapolis; University of Rochester Medical Center; Texas A&M University,US,https://ror.org/04drvxt59; https://ror.org/03vek6s52; https://ror.org/02ets8c94; https://ror.org/05gxnyn08; https://ror.org/00trqv719; https://ror.org/01f5ytq51,Medicine:0.831; Fenestration:0.802; Embolization:0.785; Refractory (planetary science):0.679; Radiology:0.498; Surgery:0.448; Laser:0.402; Biomedical engineering:0.387,Aortic aneurysm repair treatments; Aortic Disease and Treatment Approaches; Connective tissue disorders research,28,0.0,[],True,gold,Journal of Vascular Surgery Cases and Innovative Techniques,2468-4287,2025.0,article,doi,,0,tdm; vor,True,27.0,2468-4287,"Journal of Vascular Surgery Cases, Innovations and Techniques",2026.0,journal-article
2-s2.0-105023574388,10.1016/j.enconman.2025.120837,An innovative control strategy for Breathing Walls aimed at both heating and cooling energy savings,2026,Energy Conversion and Management,01968904,349,,,Article,Alongi A.,,,Politecnico di Milano,Italy,0,1,,doi,,https://openalex.org/W4416754869,Andrea Alongi; Adriana Angelotti; Livio Mazzarella,3,Politecnico di Milano,IT,https://ror.org/01nffqt88,TRNSYS:0.924; Building envelope:0.661; Ventilation (architecture):0.609; Engineering:0.515; Thermal comfort:0.511; Work (physics):0.501; Flexibility (engineering):0.477; Airflow:0.473,Solar Energy Systems and Technologies; Building Energy and Comfort Optimization; Adsorption and Cooling Systems,31,0.0,[],True,hybrid,Energy Conversion and Management,0196-8904; 1879-2227,2025.0,article,doi,,0,tdm; vor,True,43.0,0196-8904,Energy Conversion and Management,2026.0,journal-article
2-s2.0-105030680123,10.1051/e3sconf/202668904010,Dynamic Thermal Adaptive Façades: A Comparative Review of Existing Taxonomies,2026,E3s Web of Conferences,25550403,689,,,Conference Paper,Teixeira J.,,,Faculdade de Ciências e Tecnologia da Universidade Nova de Lisboa,Portugal,0,1,,doi,,https://openalex.org/W7125280014,Joaquim Teixeira; Daniel Aelenei; F. Pimentel Santos; Laura Aelenei,4,Universidade Nova de Lisboa; Nova Institut; National Laboratory of Energy and Geology,PT; DE,https://ror.org/02xankh89; https://ror.org/01s5g3b18; https://ror.org/00w7v1v77,CLARITY:0.639; Modular design:0.608; Computer science:0.563; Scale (ratio):0.416; Systems engineering:0.389; Risk analysis (engineering):0.381; Data science:0.365; Engineering:0.344,Building Energy and Comfort Optimization; Aerogels and thermal insulation; Transition Metal Oxide Nanomaterials,11,0.0,[],True,diamond,E3S Web of Conferences,2267-1242; 2555-0403,2026.0,article,doi,,0,vor,True,18.0,2267-1242,E3S Web of Conferences,2026.0,journal-article
2-s2.0-105023149306,10.1016/j.enbuild.2025.116753,Movement optimization of a movable façade using bimetal as actuators for enhanced indoor airflow,2026,Energy and Buildings,03787788,351,,,Article,Aalami N.,,,University of Tehran;RMIT University,Iran;Australia,1,0,,doi,,https://openalex.org/W4416549125,Negin Aalami; Mahdieh Abravesh; Tariq Maqsood; Muhammed A. Bhuiyan,4,RMIT University; Tehran University of Art; University of Tehran,AU; IR,https://ror.org/04ttjf776; https://ror.org/02ggnbj54; https://ror.org/05vf56z40,Bimetal:0.89; Louver:0.737; Airflow:0.676; Natural ventilation:0.586; Finite element method:0.584; Aluminium:0.55; Materials science:0.514; Bimetallic strip:0.484,Solar Energy Systems and Technologies; Building Energy and Comfort Optimization; Structural Analysis of Composite Materials,24,1.0,"[{""year"": 2026, ""cited_by_count"": 1}]",False,closed,Energy and Buildings,0378-7788; 1872-6178,2025.0,article,doi,,0,stm-asf; tdm,True,42.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105010091312,10.1016/j.eswa.2025.128869,3D-PV: Enhancing PV power prediction by modeling spatial uncertainty under dynamic shading conditions,2026,Expert Systems with Applications,09574174,296,,,Article,Li F.,,,University of Liverpool;Xi'an Jiaotong-Liverpool University,United Kingdom;China,1,0,,doi,,https://openalex.org/W4412031097,Fengze Li; Dou Hong; Jieming Ma; Zhongbei Tian; Hai‐Ning Liang; Jiawei Guo; Kangshi Wang,7,University of Liverpool; Xi’an Jiaotong-Liverpool University; University of Birmingham,CN; GB,https://ror.org/04xs57h96; https://ror.org/03zmrmn05; https://ror.org/03angcq70,Shading:0.768; Photovoltaic system:0.698; Computer science:0.685; Power (physics):0.458; Artificial intelligence:0.413; Machine learning:0.326; Computer graphics (images):0.102; Electrical engineering:0.089,Solar Radiation and Photovoltaics; Photovoltaic System Optimization Techniques; Solar Thermal and Photovoltaic Systems,40,0.0,[],False,closed,Expert Systems with Applications,0957-4174; 1873-6793,2025.0,article,doi,,0,stm-asf; tdm,True,38.0,0957-4174,Expert Systems with Applications,2026.0,journal-article
2-s2.0-105021992137,10.1016/j.enbuild.2025.116685,Predicting energy usage in fixed-area office buildings: A comprehensive ANN-based study with electrochromic glazing,2026,Energy and Buildings,03787788,351,,,Article,Nguyen V.T.,,,Van Lang University,Viet Nam,0,0,,doi,,https://openalex.org/W4415951172,Van-Tung Nguyen; Dung Nguyen; Giang Bui; Tam Bang Nguyen; Thy Thi Anh Ho,5,Van Lang University,VN,https://ror.org/02ryrf141,Glazing:0.905; Parametric statistics:0.623; Field (mathematics):0.522; Computer science:0.507; Deep learning:0.455; Machine learning:0.452; Energy consumption:0.451; Energy (signal processing):0.449,Transition Metal Oxide Nanomaterials; Building Energy and Comfort Optimization; Urban Heat Island Mitigation,33,0.0,[],False,closed,Energy and Buildings,0378-7788; 1872-6178,2025.0,article,doi,,0,stm-asf; tdm,True,53.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105026119541,10.1016/j.energy.2025.139802,Energy assessment of PCM/T system integrated with interior shading cells in building glass facades,2026,Energy,03605442,343,,,Article,Soliman A.S.,,,Shanghai University;Faculty of Engineering,China;Egypt,2,0,,doi,,https://openalex.org/W7117295031,Ahmed Saad Soliman; Ping Cheng; Aya Mohamed Abd El-baset Morad; Seif Elbana; Ahmed El sheikh; Abdalla Rashed; Rawan Shokira; Asmaa Saad; Ahmed Awad; Osama Abdelrehim,10,Shanghai University; Mansoura University,CN; EG,https://ror.org/006teas31; https://ror.org/01k8vtd75,Shading:0.774; Environmental science:0.671; Inlet:0.632; Thermal:0.618; Thermal comfort:0.604; Reduction (mathematics):0.472; Marine engineering:0.439; Energy (signal processing):0.402,Phase Change Materials Research; Solar Thermal and Photovoltaic Systems; Solar Energy Systems and Technologies,49,2.0,"[{""year"": 2026, ""cited_by_count"": 2}]",False,closed,Energy,0360-5442; 1873-6785,2025.0,article,doi,,0,stm-asf; tdm,True,54.0,0360-5442,Energy,2026.0,journal-article
2-s2.0-105033382870,10.37868/hsd.v8i1.1973,Effects of building façade architectural design elements on thermal comfort and energy efficiency,2026,Heritage and Sustainable Development,,8,1,285-298,Article,Meften H.S.,,,Mustansiriyah University,Iraq,0,1,,doi,,https://openalex.org/W7138932710,Hiba Salih Meften; Noor A. M. Aalhashem; Mayyadah L. Abdulwahhab; Ashwaq Fadhel Muhkaber Alomare,4,Mustansiriyah University,IQ,https://ror.org/05s04wy35,Passive cooling:0.705; Thermal comfort:0.688; Building envelope:0.679; Efficient energy use:0.609; Solar gain:0.546; Heat flux:0.535; Environmental science:0.526; Heat transfer:0.494,Building Energy and Comfort Optimization; Urban Heat Island Mitigation; Hygrothermal properties of building materials,0,0.0,[],True,diamond,Heritage and Sustainable Development ISSN 2712-0554,2712-0554,2026.0,article,doi,,0,unspecified,True,0.0,2712-0554,Heritage and Sustainable Development,2026.0,journal-article
